R1138TS076_3.pdb     -4042.040263 kBT
R1138TS119_2.pdb     -4174.657794 kBT
R1138TS097_4.pdb     -1338.598281 kBT
R1138TS029_1.pdb     -3677.565296 kBT
R1138TS035_1.pdb     -2842.332302 kBT
R1138TS119_3.pdb     -4114.312017 kBT
R1138TS119_5.pdb     -4167.902747 kBT
R1138TS434_2.pdb     -3438.888004 kBT
R1138TS131_3.pdb     -1946.345452 kBT
R1138TS081_3.pdb     -4406.745606 kBT
R1138TS392_3.pdb     -4117.577877 kBT
R1138TS076_1.pdb     -4357.254584 kBT
R1138TS239_4.pdb     -4578.795600 kBT
R1138TS081_1.pdb     -4613.127498 kBT
R1138TS416_3.pdb     -4486.224644 kBT
R1138TS119_4.pdb     -4183.837306 kBT
R1138TS245_3.pdb     -3331.653573 kBT
R1138TS416_5.pdb     -4357.254584 kBT
R1138TS287_4.pdb     -3554.310513 kBT
R1138TS131_2.pdb     -1795.472792 kBT
R1138TS185_5.pdb     -2256.223638 kBT
R1138TS489_5.pdb     -5487.012117 kBT
R1138TS128_2.pdb     -4319.973228 kBT
R1138TS125_1.pdb     -4437.408581 kBT
R1138TS229_1.pdb     -9816.966324 kBT
R1138TS227_4.pdb     -3423.496479 kBT
R1138TS439_5.pdb     -4635.522671 kBT
R1138TS235_1.pdb     -3687.814975 kBT
R1138TS128_4.pdb     -4246.196459 kBT
R1138TS229_4.pdb     -4578.795600 kBT
R1138TS239_5.pdb     -4568.505303 kBT
R1138TS119_1.pdb     -4114.091613 kBT
R1138TS470_2.pdb     -5800.929535 kBT
R1138TS029_2.pdb     -3677.565296 kBT
R1138TS245_5.pdb     -3298.493362 kBT
R1138TS439_4.pdb     -4578.795600 kBT
R1138TS239_1.pdb     -9816.966324 kBT
R1138TS185_3.pdb     -3393.522588 kBT
R1138TS147_1.pdb     -3391.343313 kBT
R1138TS147_5.pdb     -3422.076626 kBT
R1138TS232_3.pdb     -5859.079200 kBT
R1138TS147_4.pdb     -3293.978457 kBT
R1138TS245_4.pdb     -3523.094756 kBT
R1138TS147_3.pdb     -3155.369872 kBT
R1138TS081_5.pdb     -4435.992800 kBT
R1138TS470_1.pdb     -5893.056329 kBT
R1138TS392_4.pdb     -4084.051591 kBT
R1138TS227_2.pdb     -3601.528443 kBT
R1138TS229_2.pdb     -10705.408132 kBT
R1138TS238_3.pdb     -6212.868177 kBT
R1138TS128_3.pdb     -4446.128975 kBT
R1138TS248_2.pdb     -3070.636035 kBT
R1138TS035_3.pdb     -3051.761853 kBT
R1138TS239_2.pdb     -4503.735562 kBT
R1138TS125_2.pdb     -4303.650029 kBT
R1138TS245_1.pdb     -3105.484695 kBT
R1138TS287_1.pdb     -4626.888998 kBT
R1138TS081_4.pdb     -4406.076154 kBT
R1138TS125_5.pdb     -4357.254584 kBT
R1138TS185_2.pdb     -3366.344515 kBT
R1138TS125_3.pdb     -4486.224644 kBT
R1138TS470_5.pdb     -5995.778861 kBT
R1138TS227_1.pdb     -3198.547475 kBT
R1138TS287_5.pdb     -3538.709586 kBT
R1138TS232_4.pdb     -5756.825804 kBT
R1138TS489_4.pdb     -5181.146027 kBT
R1138TS434_4.pdb     -3221.002484 kBT
R1138TS416_1.pdb     -4437.408581 kBT
R1138TS185_4.pdb     -3315.593119 kBT
R1138TS229_5.pdb     -4635.522671 kBT
R1138TS248_1.pdb     -2842.332302 kBT
R1138TS248_3.pdb     -3051.761853 kBT
R1138TS232_1.pdb     -5683.811634 kBT
R1138TS128_5.pdb     -4346.174405 kBT
R1138TS035_5.pdb     -2977.265857 kBT
R1138TS131_5.pdb     -1957.650148 kBT
R1138TS239_3.pdb     -4635.522671 kBT
R1138TS416_2.pdb     -4503.735562 kBT
R1138TS235_2.pdb     -3696.580906 kBT
R1138TS076_4.pdb     -4008.111139 kBT
R1138TS229_3.pdb     -4503.735562 kBT
R1138TS434_1.pdb     -3379.768794 kBT
R1138TS097_5.pdb     -1356.872761 kBT
R1138TS131_1.pdb     -1908.896746 kBT
R1138TS248_4.pdb     -3011.066741 kBT
R1138TS439_3.pdb     -4437.408581 kBT
R1138TS147_2.pdb     -3224.083942 kBT
R1138TS227_3.pdb     -3160.510906 kBT
R1138TS097_1.pdb     -1379.028469 kBT
R1138TS232_2.pdb     -5669.998121 kBT
R1138TS054_3.pdb     -4478.894180 kBT
R1138TS076_2.pdb     -4437.408581 kBT
R1138TS232_5.pdb     -5793.721007 kBT
R1138TS245_2.pdb     -3231.845540 kBT
R1138TS177_1.pdb     -1639.024578 kBT
R1138TS035_4.pdb     -3011.066741 kBT
R1138TS227_5.pdb     -3262.572313 kBT
R1138TS097_2.pdb     -1363.088739 kBT
R1138TS238_2.pdb     -2099.768437 kBT
