2ozbF_M241.pdb     -413.711893 kBT
2ozbF_M439.pdb     -405.181297 kBT
2ozbF_M305.pdb     -403.088558 kBT
2ozbF_M28.pdb     -586.282251 kBT
2ozbF_M199.pdb     -407.845651 kBT
2ozbF_M289.pdb     -473.274613 kBT
2ozbF_M345.pdb     -364.754975 kBT
2ozbF_M194.pdb     -423.549570 kBT
2ozbF_M208.pdb     -421.384865 kBT
2ozbF_M457.pdb     -413.055238 kBT
2ozbF_M267.pdb     -547.457222 kBT
2ozbF_M165.pdb     -478.041675 kBT
2ozbF_M417.pdb     -420.073421 kBT
2ozbF_M238.pdb     -462.799258 kBT
2ozbF_M171.pdb     -382.710265 kBT
2ozbF_M107.pdb     -537.900638 kBT
2ozbF_M334.pdb     -363.500251 kBT
2ozbF_M41.pdb     -514.774031 kBT
2ozbF_M233.pdb     -447.840624 kBT
2ozbF_M313.pdb     -361.333280 kBT
2ozbF_M160.pdb     -463.003295 kBT
2ozbF_M147.pdb     -471.630011 kBT
2ozbF_M408.pdb     -439.253319 kBT
2ozbF_M203.pdb     -437.438627 kBT
2ozbF_M386.pdb     -440.981724 kBT
2ozbF_M332.pdb     -449.099846 kBT
2ozbF_M99.pdb     -515.916046 kBT
2ozbF_M61.pdb     -541.246582 kBT
2ozbF_M226.pdb     -384.334927 kBT
2ozbF_M30.pdb     -585.489681 kBT
2ozbF_M24.pdb     -551.745883 kBT
2ozbF_M273.pdb     -497.178965 kBT
2ozbF_M256.pdb     -482.135894 kBT
2ozbF_M443.pdb     -492.337456 kBT
2ozbF_M197.pdb     -459.819884 kBT
2ozbF_M370.pdb     -449.166014 kBT
2ozbF_M174.pdb     -438.970198 kBT
2ozbF_M275.pdb     -342.844984 kBT
2ozbF_M387.pdb     -365.110151 kBT
2ozbF_M467.pdb     -472.320551 kBT
2ozbF_M497.pdb     -311.242011 kBT
2ozbF_M459.pdb     -397.721500 kBT
2ozbF_M37.pdb     -488.052960 kBT
2ozbF_M96.pdb     -420.177362 kBT
2ozbF_M10.pdb     -557.189891 kBT
2ozbF_M192.pdb     -422.074042 kBT
2ozbF_M314.pdb     -474.628288 kBT
2ozbF_M326.pdb     -514.942714 kBT
2ozbF_M304.pdb     -436.612365 kBT
2ozbF_M29.pdb     -531.554032 kBT
2ozbF_M58.pdb     -477.086322 kBT
2ozbF_M350.pdb     -430.821535 kBT
2ozbF_M173.pdb     -439.054631 kBT
2ozbF_M453.pdb     -467.291988 kBT
2ozbF_M188.pdb     -370.135351 kBT
2ozbF_M164.pdb     -427.872373 kBT
2ozbF_M406.pdb     -427.957087 kBT
2ozbF_M248.pdb     -507.055242 kBT
2ozbF_M235.pdb     -424.499913 kBT
2ozbF_M57.pdb     -515.215758 kBT
2ozbF_M424.pdb     -471.872863 kBT
2ozbF_M6.pdb     -585.167035 kBT
2ozbF_M416.pdb     -421.127088 kBT
2ozbF_M451.pdb     -415.903823 kBT
2ozbF_M134.pdb     -452.289807 kBT
2ozbF_M372.pdb     -478.909747 kBT
2ozbF_M222.pdb     -468.129270 kBT
2ozbF_M135.pdb     -433.434122 kBT
2ozbF_M84.pdb     -442.806735 kBT
2ozbF.pdb     -561.660480 kBT
2ozbF_M251.pdb     -409.863186 kBT
2ozbF_M166.pdb     -418.889784 kBT
2ozbF_M114.pdb     -439.292166 kBT
2ozbF_M422.pdb     -480.683401 kBT
2ozbF_M137.pdb     -436.496151 kBT
