1u9sA_M46.pdb     -1894.684411 kBT
1u9sA_M263.pdb     -1565.652555 kBT
1u9sA_M219.pdb     -1621.249668 kBT
1u9sA_M6.pdb     -2171.898067 kBT
1u9sA_M465.pdb     -1587.602421 kBT
1u9sA_M292.pdb     -1549.764193 kBT
1u9sA_M444.pdb     -1521.574810 kBT
1u9sA_M264.pdb     -1584.909862 kBT
1u9sA_M375.pdb     -1646.715775 kBT
1u9sA_M209.pdb     -1660.918596 kBT
1u9sA_M306.pdb     -1521.192259 kBT
1u9sA_M351.pdb     -1497.797461 kBT
1u9sA_M57.pdb     -1856.848652 kBT
1u9sA_M153.pdb     -1702.243503 kBT
1u9sA_M156.pdb     -1703.391078 kBT
1u9sA_M119.pdb     -1687.741884 kBT
1u9sA_M241.pdb     -1559.302981 kBT
1u9sA_M471.pdb     -1424.284515 kBT
1u9sA_M220.pdb     -1647.496777 kBT
1u9sA_M426.pdb     -1538.276364 kBT
1u9sA_M27.pdb     -2045.295018 kBT
1u9sA_M286.pdb     -1528.063949 kBT
1u9sA_M339.pdb     -1587.644784 kBT
1u9sA_M301.pdb     -1585.675448 kBT
1u9sA_M118.pdb     -1827.893361 kBT
1u9sA_M139.pdb     -1750.850083 kBT
1u9sA_M143.pdb     -1669.229570 kBT
1u9sA_M287.pdb     -1590.490502 kBT
1u9sA_M442.pdb     -1494.876990 kBT
1u9sA_M455.pdb     -1515.694349 kBT
1u9sA_M231.pdb     -1524.366233 kBT
1u9sA_M30.pdb     -2091.003987 kBT
1u9sA_M144.pdb     -1678.075378 kBT
1u9sA_M84.pdb     -1753.860650 kBT
1u9sA_M170.pdb     -1752.115553 kBT
1u9sA_M74.pdb     -1896.579553 kBT
1u9sA_M79.pdb     -1844.918138 kBT
1u9sA_M373.pdb     -1481.030261 kBT
1u9sA_M276.pdb     -1514.342537 kBT
1u9sA_M360.pdb     -1513.523356 kBT
1u9sA_M16.pdb     -2143.431044 kBT
1u9sA_M476.pdb     -1489.504795 kBT
1u9sA_M103.pdb     -1784.823683 kBT
1u9sA_M385.pdb     -1475.936288 kBT
1u9sA_M201.pdb     -1611.605586 kBT
1u9sA_M227.pdb     -1561.381487 kBT
1u9sA_M431.pdb     -1383.007330 kBT
1u9sA_M383.pdb     -1522.172275 kBT
1u9sA_M448.pdb     -1492.305282 kBT
1u9sA_M484.pdb     -1402.455261 kBT
1u9sA_M100.pdb     -1772.890955 kBT
1u9sA_M413.pdb     -1468.544204 kBT
1u9sA_M98.pdb     -1704.616891 kBT
1u9sA_M224.pdb     -1684.110930 kBT
1u9sA_M138.pdb     -1746.307587 kBT
1u9sA_M458.pdb     -1413.109376 kBT
1u9sA_M303.pdb     -1518.099237 kBT
1u9sA_M321.pdb     -1650.103935 kBT
1u9sA_M314.pdb     -1535.388284 kBT
1u9sA_M149.pdb     -1639.508537 kBT
1u9sA_M451.pdb     -1500.430410 kBT
1u9sA_M210.pdb     -1579.132001 kBT
1u9sA_M140.pdb     -1718.018288 kBT
1u9sA_M111.pdb     -1756.261943 kBT
1u9sA_M15.pdb     -2105.880724 kBT
1u9sA_M211.pdb     -1526.490852 kBT
1u9sA_M302.pdb     -1500.002753 kBT
1u9sA_M158.pdb     -1710.585380 kBT
1u9sA_M277.pdb     -1527.216851 kBT
1u9sA_M305.pdb     -1548.248418 kBT
1u9sA_M127.pdb     -1641.950058 kBT
1u9sA_M69.pdb     -1824.219802 kBT
1u9sA_M461.pdb     -1366.762672 kBT
1u9sA_M109.pdb     -1673.318977 kBT
1u9sA_M1.pdb     -2147.601121 kBT
1u9sA_M439.pdb     -1487.056077 kBT
1u9sA_M446.pdb     -1506.210270 kBT
1u9sA_M279.pdb     -1543.029923 kBT
1u9sA_M259.pdb     -1584.457917 kBT
1u9sA_M356.pdb     -1479.150819 kBT
1u9sA_M261.pdb     -1480.442485 kBT
1u9sA_M146.pdb     -1571.470141 kBT
1u9sA_M193.pdb     -1618.325742 kBT
1u9sA_M323.pdb     -1560.919280 kBT
1u9sA_M344.pdb     -1544.761116 kBT
1u9sA_M365.pdb     -1483.174699 kBT
