2quxR_M199.pdb     -335.204721 kBT
2quxR_M250.pdb     -239.049461 kBT
2quxR_M224.pdb     -282.735998 kBT
2quxR_M108.pdb     -325.734802 kBT
2quxR_M248.pdb     -334.557954 kBT
2quxR_M318.pdb     -332.030452 kBT
2quxR_M408.pdb     -237.500915 kBT
2quxR_M245.pdb     -300.970314 kBT
2quxR_M371.pdb     -356.843252 kBT
2quxR_M143.pdb     -383.685484 kBT
2quxR_M410.pdb     -246.875818 kBT
2quxR_M109.pdb     -288.837572 kBT
2quxR_M70.pdb     -361.649663 kBT
2quxR_M121.pdb     -341.751409 kBT
2quxR_M202.pdb     -333.048887 kBT
2quxR_M168.pdb     -340.140305 kBT
2quxR_M472.pdb     -216.125697 kBT
2quxR_M110.pdb     -347.427343 kBT
2quxR_M350.pdb     -355.591293 kBT
2quxR_M206.pdb     -324.895473 kBT
2quxR_M479.pdb     -274.419675 kBT
2quxR_M155.pdb     -321.434149 kBT
2quxR_M369.pdb     -311.849819 kBT
2quxR_M396.pdb     -307.099734 kBT
2quxR_M226.pdb     -270.832911 kBT
2quxR_M236.pdb     -215.120710 kBT
2quxR_M24.pdb     -459.452491 kBT
2quxR_M100.pdb     -369.185678 kBT
2quxR_M92.pdb     -375.128063 kBT
2quxR_M241.pdb     -246.109760 kBT
2quxR_M185.pdb     -286.314149 kBT
2quxR_M467.pdb     -174.632101 kBT
2quxR_M301.pdb     -259.221175 kBT
2quxR_M81.pdb     -318.517859 kBT
2quxR_M6.pdb     -469.281455 kBT
2quxR_M3.pdb     -469.587411 kBT
2quxR_M489.pdb     -264.644995 kBT
2quxR_M459.pdb     -210.776279 kBT
2quxR_M261.pdb     -240.814148 kBT
2quxR_M65.pdb     -365.505663 kBT
2quxR_M291.pdb     -215.299668 kBT
2quxR_M66.pdb     -395.584315 kBT
2quxR_M76.pdb     -400.303905 kBT
2quxR_M200.pdb     -347.254468 kBT
2quxR_M480.pdb     -358.241224 kBT
2quxR_M339.pdb     -301.051171 kBT
2quxR_M162.pdb     -352.275664 kBT
2quxR_M99.pdb     -352.886052 kBT
2quxR_M57.pdb     -485.508400 kBT
2quxR_M158.pdb     -368.653636 kBT
2quxR_M117.pdb     -344.471421 kBT
