2anrB_M23.pdb     -410.547068 kBT
2anrB_M261.pdb     -242.568973 kBT
2anrB_M494.pdb     -297.466871 kBT
2anrB_M189.pdb     -337.340630 kBT
2anrB_M65.pdb     -393.233235 kBT
2anrB_M299.pdb     -296.761533 kBT
2anrB_M485.pdb     -314.292823 kBT
2anrB_M72.pdb     -418.044341 kBT
2anrB_M286.pdb     -377.212385 kBT
2anrB_M477.pdb     -303.147214 kBT
2anrB_M6.pdb     -418.910317 kBT
2anrB_M317.pdb     -293.627845 kBT
2anrB_M218.pdb     -374.702760 kBT
2anrB_M206.pdb     -336.266102 kBT
2anrB_M128.pdb     -379.791827 kBT
2anrB_M13.pdb     -430.629352 kBT
2anrB_M244.pdb     -342.673035 kBT
2anrB_M361.pdb     -347.933664 kBT
2anrB_M401.pdb     -285.573675 kBT
2anrB_M66.pdb     -325.489450 kBT
2anrB_M251.pdb     -329.181868 kBT
2anrB_M163.pdb     -360.223887 kBT
2anrB_M137.pdb     -323.341497 kBT
2anrB_M422.pdb     -290.671474 kBT
2anrB_M297.pdb     -307.501525 kBT
2anrB_M182.pdb     -386.560660 kBT
2anrB_M202.pdb     -351.518775 kBT
2anrB_M230.pdb     -340.466899 kBT
2anrB_M288.pdb     -273.343476 kBT
2anrB_M335.pdb     -330.879817 kBT
2anrB_M415.pdb     -321.933464 kBT
2anrB_M302.pdb     -382.060494 kBT
2anrB_M466.pdb     -295.833711 kBT
2anrB_M35.pdb     -364.428898 kBT
2anrB_M25.pdb     -429.815074 kBT
2anrB_M342.pdb     -340.304341 kBT
2anrB_M83.pdb     -295.806097 kBT
2anrB_M419.pdb     -281.595293 kBT
2anrB_M106.pdb     -349.500813 kBT
2anrB_M383.pdb     -287.144092 kBT
2anrB_M269.pdb     -315.247306 kBT
2anrB_M318.pdb     -327.261778 kBT
2anrB_M458.pdb     -256.497849 kBT
2anrB_M141.pdb     -326.929709 kBT
2anrB_M388.pdb     -387.000823 kBT
2anrB_M491.pdb     -304.627120 kBT
2anrB_M131.pdb     -352.689164 kBT
2anrB_M49.pdb     -373.932828 kBT
2anrB_M51.pdb     -326.401794 kBT
2anrB_M475.pdb     -303.622577 kBT
2anrB_M112.pdb     -397.449764 kBT
2anrB_M394.pdb     -276.050194 kBT
2anrB_M479.pdb     -222.014438 kBT
2anrB_M214.pdb     -379.636382 kBT
2anrB_M47.pdb     -338.016021 kBT
2anrB_M68.pdb     -340.412640 kBT
2anrB_M217.pdb     -366.370293 kBT
2anrB_M277.pdb     -323.988651 kBT
2anrB_M310.pdb     -364.972551 kBT
2anrB_M323.pdb     -324.164156 kBT
2anrB_M402.pdb     -332.390890 kBT
2anrB_M334.pdb     -310.685307 kBT
2anrB_M188.pdb     -341.453785 kBT
2anrB.pdb     -505.824038 kBT
2anrB_M255.pdb     -293.643253 kBT
2anrB_M435.pdb     -362.292079 kBT
2anrB_M344.pdb     -283.730465 kBT
2anrB_M122.pdb     -395.922583 kBT
2anrB_M211.pdb     -358.136142 kBT
2anrB_M408.pdb     -420.012263 kBT
2anrB_M233.pdb     -319.071228 kBT
2anrB_M452.pdb     -239.820618 kBT
