3gcaA_M473.pdb     -508.889906 kBT
3gcaA_M325.pdb     -577.336000 kBT
3gcaA_M66.pdb     -567.658623 kBT
3gcaA_M366.pdb     -519.188509 kBT
3gcaA_M199.pdb     -534.309097 kBT
3gcaA_M362.pdb     -538.887489 kBT
3gcaA_M426.pdb     -602.457692 kBT
3gcaA_M81.pdb     -599.168430 kBT
3gcaA_M421.pdb     -567.274478 kBT
3gcaA_M100.pdb     -558.693059 kBT
3gcaA_M173.pdb     -560.289104 kBT
3gcaA.pdb     -630.027087 kBT
3gcaA_M73.pdb     -563.562609 kBT
3gcaA_M367.pdb     -584.930078 kBT
3gcaA_M440.pdb     -513.186077 kBT
3gcaA_M415.pdb     -567.851785 kBT
3gcaA_M479.pdb     -510.695902 kBT
3gcaA_M373.pdb     -504.481540 kBT
3gcaA_M84.pdb     -618.999719 kBT
3gcaA_M321.pdb     -611.671492 kBT
3gcaA_M463.pdb     -483.232571 kBT
3gcaA_M99.pdb     -562.646680 kBT
3gcaA_M307.pdb     -542.221692 kBT
3gcaA_M17.pdb     -638.924066 kBT
3gcaA_M193.pdb     -555.667603 kBT
3gcaA_M78.pdb     -589.686943 kBT
3gcaA_M455.pdb     -477.350420 kBT
3gcaA_M222.pdb     -602.636715 kBT
3gcaA_M169.pdb     -561.661931 kBT
3gcaA_M354.pdb     -552.230467 kBT
3gcaA_M179.pdb     -568.948757 kBT
3gcaA_M300.pdb     -543.044535 kBT
3gcaA_M46.pdb     -609.029460 kBT
3gcaA_M19.pdb     -601.359432 kBT
3gcaA_M184.pdb     -486.802823 kBT
3gcaA_M363.pdb     -551.843258 kBT
3gcaA_M217.pdb     -518.899842 kBT
3gcaA_M3.pdb     -621.358074 kBT
3gcaA_M444.pdb     -558.691275 kBT
3gcaA_M104.pdb     -579.709892 kBT
3gcaA_M460.pdb     -537.007078 kBT
3gcaA_M320.pdb     -498.801889 kBT
3gcaA_M12.pdb     -629.300214 kBT
3gcaA_M417.pdb     -516.869091 kBT
3gcaA_M428.pdb     -496.928792 kBT
3gcaA_M83.pdb     -563.682803 kBT
3gcaA_M111.pdb     -545.125426 kBT
3gcaA_M392.pdb     -554.401538 kBT
3gcaA_M243.pdb     -556.808092 kBT
3gcaA_M136.pdb     -546.100884 kBT
3gcaA_M38.pdb     -634.248842 kBT
3gcaA_M283.pdb     -560.305352 kBT
3gcaA_M412.pdb     -545.948859 kBT
3gcaA_M144.pdb     -568.381674 kBT
3gcaA_M90.pdb     -576.366922 kBT
3gcaA_M287.pdb     -514.633975 kBT
3gcaA_M93.pdb     -613.361985 kBT
3gcaA_M448.pdb     -599.937442 kBT
3gcaA_M313.pdb     -566.328798 kBT
3gcaA_M498.pdb     -524.754797 kBT
3gcaA_M340.pdb     -510.595849 kBT
3gcaA_M109.pdb     -545.771686 kBT
3gcaA_M268.pdb     -601.783998 kBT
3gcaA_M339.pdb     -615.026893 kBT
3gcaA_M14.pdb     -628.653255 kBT
3gcaA_M152.pdb     -505.064996 kBT
3gcaA_M403.pdb     -552.398248 kBT
3gcaA_M301.pdb     -554.674022 kBT
3gcaA_M232.pdb     -577.065995 kBT
3gcaA_M94.pdb     -554.477905 kBT
3gcaA_M337.pdb     -532.498173 kBT
3gcaA_M57.pdb     -576.108296 kBT
3gcaA_M75.pdb     -600.920146 kBT
3gcaA_M133.pdb     -509.454790 kBT
3gcaA_M427.pdb     -531.910823 kBT
3gcaA_M291.pdb     -539.944172 kBT
3gcaA_M462.pdb     -572.180361 kBT
3gcaA_M351.pdb     -562.316036 kBT
3gcaA_M194.pdb     -556.706778 kBT
3gcaA_M124.pdb     -600.626994 kBT
3gcaA_M264.pdb     -575.576096 kBT
3gcaA_M345.pdb     -573.513575 kBT
3gcaA_M244.pdb     -625.457158 kBT
3gcaA_M235.pdb     -416.305961 kBT
3gcaA_M322.pdb     -553.901695 kBT
3gcaA_M399.pdb     -535.193937 kBT
3gcaA_M400.pdb     -563.053885 kBT
3gcaA_M352.pdb     -525.202632 kBT
3gcaA_M5.pdb     -618.181580 kBT
3gcaA_M318.pdb     -496.161068 kBT
3gcaA_M154.pdb     -559.423523 kBT
3gcaA_M156.pdb     -528.561652 kBT
3gcaA_M86.pdb     -600.274727 kBT
3gcaA_M402.pdb     -509.656076 kBT
3gcaA_M489.pdb     -510.762086 kBT
3gcaA_M280.pdb     -556.995785 kBT
3gcaA_M495.pdb     -562.281793 kBT
