1mjiD_M86.pdb     -531.756494 kBT
1mjiD_M239.pdb     -430.915736 kBT
1mjiD_M285.pdb     -482.002383 kBT
1mjiD_M85.pdb     -481.017951 kBT
1mjiD_M28.pdb     -525.988805 kBT
1mjiD_M300.pdb     -402.157454 kBT
1mjiD_M349.pdb     -498.740395 kBT
1mjiD_M212.pdb     -443.667444 kBT
1mjiD_M390.pdb     -543.002352 kBT
1mjiD_M335.pdb     -445.519777 kBT
1mjiD_M127.pdb     -518.090476 kBT
1mjiD_M486.pdb     -468.395636 kBT
1mjiD_M474.pdb     -460.844643 kBT
1mjiD_M16.pdb     -551.960962 kBT
1mjiD_M468.pdb     -367.795136 kBT
1mjiD_M355.pdb     -409.581732 kBT
1mjiD_M25.pdb     -512.586840 kBT
1mjiD_M284.pdb     -467.481011 kBT
1mjiD_M481.pdb     -415.679794 kBT
1mjiD_M176.pdb     -450.572358 kBT
1mjiD_M393.pdb     -488.345728 kBT
1mjiD_M361.pdb     -455.867522 kBT
1mjiD_M242.pdb     -472.733273 kBT
1mjiD_M122.pdb     -526.142465 kBT
1mjiD_M331.pdb     -496.908736 kBT
1mjiD_M416.pdb     -443.188617 kBT
1mjiD_M135.pdb     -450.962822 kBT
1mjiD_M171.pdb     -464.318051 kBT
1mjiD_M164.pdb     -454.884832 kBT
1mjiD_M309.pdb     -451.948458 kBT
1mjiD_M283.pdb     -451.878147 kBT
1mjiD_M121.pdb     -544.147213 kBT
1mjiD_M356.pdb     -478.506764 kBT
1mjiD_M286.pdb     -471.282956 kBT
1mjiD_M245.pdb     -407.970031 kBT
1mjiD_M179.pdb     -461.158820 kBT
1mjiD_M412.pdb     -468.947113 kBT
1mjiD_M74.pdb     -549.158786 kBT
1mjiD_M396.pdb     -387.778188 kBT
1mjiD_M364.pdb     -445.007405 kBT
1mjiD_M441.pdb     -462.055132 kBT
1mjiD_M376.pdb     -451.312416 kBT
1mjiD_M153.pdb     -453.832576 kBT
1mjiD_M229.pdb     -433.461741 kBT
1mjiD_M58.pdb     -517.834633 kBT
1mjiD_M12.pdb     -553.216521 kBT
