R1149TS470_5.pdb     -288.278731 kBT
R1149TS125_1.pdb     -473.479273 kBT
R1149TS416_1.pdb     -431.782379 kBT
R1149TS232_4.pdb     -532.710660 kBT
R1149TS091_2.pdb     -149.278022 kBT
R1149TS248_3.pdb     -505.343642 kBT
R1149TS232_5.pdb     -502.026177 kBT
R1149TS245_4.pdb     -386.057090 kBT
R1149TS054_5.pdb     -458.957593 kBT
R1149TS125_3.pdb     -477.339394 kBT
R1149TS470_4.pdb     -296.313308 kBT
R1149TS287_4.pdb     -409.266023 kBT
R1149TS081_1.pdb     -450.711619 kBT
R1149TS248_4.pdb     -537.392788 kBT
R1149TS470_2.pdb     -315.064881 kBT
R1149TS081_4.pdb     -422.644118 kBT
R1149TS185_2.pdb     -400.718591 kBT
R1149TS091_3.pdb     -166.177214 kBT
R1149TS385_5.pdb     -281.915081 kBT
R1149TS470_3.pdb     -304.655118 kBT
R1149TS119_3.pdb     -503.095279 kBT
R1149TS119_5.pdb     -481.197934 kBT
R1149TS434_3.pdb     -386.776947 kBT
R1149TS392_3.pdb     -428.958273 kBT
R1149TS227_1.pdb     -390.128514 kBT
R1149TS185_5.pdb     -402.599747 kBT
R1149TS239_3.pdb     -335.172512 kBT
R1149TS054_3.pdb     -415.780868 kBT
R1149TS385_4.pdb     -317.337262 kBT
R1149TS392_2.pdb     -274.576239 kBT
R1149TS128_5.pdb     -364.040404 kBT
R1149TS489_1.pdb     -298.545261 kBT
R1149TS235_2.pdb     -428.927847 kBT
R1149TS470_1.pdb     -298.545261 kBT
R1149TS434_5.pdb     -377.948146 kBT
R1149TS238_1.pdb     -441.275952 kBT
R1149TS110_2.pdb     -418.263161 kBT
R1149TS235_1.pdb     -414.217754 kBT
R1149TS147_2.pdb     -383.878422 kBT
R1149TS287_3.pdb     -397.692507 kBT
R1149TS416_2.pdb     -448.468036 kBT
R1149TS125_2.pdb     -462.415284 kBT
R1149TS097_1.pdb     -217.635409 kBT
R1149TS238_2.pdb     -293.319147 kBT
R1149TS081_5.pdb     -442.898970 kBT
R1149TS147_3.pdb     -369.054890 kBT
R1149TS128_1.pdb     -382.061485 kBT
R1149TS416_5.pdb     -459.651517 kBT
R1149TS131_2.pdb     -243.350346 kBT
R1149TS287_5.pdb     -429.262627 kBT
R1149TS416_4.pdb     -450.617753 kBT
R1149TS147_4.pdb     -374.518411 kBT
R1149TS489_3.pdb     -304.655118 kBT
R1149TS185_3.pdb     -389.488475 kBT
R1149TS489_2.pdb     -315.064881 kBT
R1149TS029_4.pdb     -427.099025 kBT
R1149TS239_5.pdb     -334.956106 kBT
R1149TS076_4.pdb     -493.732178 kBT
R1149TS232_2.pdb     -527.378251 kBT
R1149TS416_3.pdb     -477.339394 kBT
R1149TS434_2.pdb     -399.551954 kBT
R1149TS147_1.pdb     -393.575193 kBT
R1149TS385_1.pdb     -281.851259 kBT
R1149TS248_2.pdb     -523.129758 kBT
R1149TS119_4.pdb     -498.066389 kBT
R1149TS248_1.pdb     -513.104795 kBT
R1149TS229_3.pdb     -355.278664 kBT
R1149TS229_5.pdb     -345.913093 kBT
R1149TS434_1.pdb     -370.474847 kBT
R1149TS239_1.pdb     -356.645917 kBT
R1149TS029_3.pdb     -346.348510 kBT
R1149TS076_3.pdb     -484.366729 kBT
R1149TS054_4.pdb     -454.122819 kBT
R1149TS076_5.pdb     -502.384741 kBT
R1149TS392_5.pdb     -458.934883 kBT
R1149TS245_2.pdb     -334.340097 kBT
R1149TS035_1.pdb     -485.460680 kBT
R1149TS434_4.pdb     -399.564948 kBT
R1149TS287_2.pdb     -402.212019 kBT
R1149TS245_5.pdb     -315.720395 kBT
R1149TS081_3.pdb     -446.761358 kBT
R1149TS110_1.pdb     -437.342607 kBT
R1149TS076_1.pdb     -472.276193 kBT
R1149TS245_3.pdb     -352.085505 kBT
R1149TS035_5.pdb     -477.332447 kBT
R1149TS029_2.pdb     -375.067825 kBT
R1149TS239_4.pdb     -375.535172 kBT
R1149TS229_4.pdb     -332.630168 kBT
R1149TS229_2.pdb     -342.885928 kBT
R1149TS110_4.pdb     -418.079588 kBT
R1149TS091_1.pdb     -161.780009 kBT
R1149TS081_2.pdb     -457.220852 kBT
R1149TS128_4.pdb     -377.865068 kBT
R1149TS239_2.pdb     -340.271560 kBT
R1149TS097_2.pdb     -213.294109 kBT
R1149TS125_4.pdb     -450.617753 kBT
R1149TS091_5.pdb     -168.203640 kBT
R1149TS119_1.pdb     -466.002455 kBT
R1149TS119_2.pdb     -507.809119 kBT
R1149TS232_1.pdb     -511.217110 kBT
R1149TS147_5.pdb     -393.665999 kBT
R1149TS235_4.pdb     -432.695341 kBT
R1149TS029_1.pdb     -372.080744 kBT
R1149TS385_3.pdb     -342.680778 kBT
R1149TS091_4.pdb     -168.284914 kBT
R1149TS185_4.pdb     -385.090153 kBT
R1149TS177_1.pdb     -549.793906 kBT
R1149TS035_3.pdb     -483.114463 kBT
R1149TS392_1.pdb     -354.660594 kBT
R1149TS229_1.pdb     -352.544593 kBT
R1149TS392_4.pdb     -394.616363 kBT
R1149TS054_1.pdb     -458.929425 kBT
R1149TS489_4.pdb     -296.313308 kBT
R1149TS287_1.pdb     -395.526463 kBT
R1149TS227_2.pdb     -380.786249 kBT
R1149TS054_2.pdb     -492.576495 kBT
R1149TS131_1.pdb     -139.122424 kBT
R1149TS227_4.pdb     -394.959754 kBT
R1149TS128_2.pdb     -388.816752 kBT
R1149TS035_4.pdb     -490.153376 kBT
R1149TS227_5.pdb     -370.668008 kBT
R1149TS035_2.pdb     -493.806637 kBT
R1149TS227_3.pdb     -387.730995 kBT
R1149TS128_3.pdb     -373.603980 kBT
R1149TS248_5.pdb     -519.057695 kBT
R1149TS235_3.pdb     -439.586730 kBT
R1149TS110_3.pdb     -403.569041 kBT
R1149TS076_2.pdb     -482.174632 kBT
R1149TS185_1.pdb     -398.492571 kBT
R1149TS235_5.pdb     -447.049241 kBT
R1149TS232_3.pdb     -527.557980 kBT
R1149TS245_1.pdb     -354.216211 kBT
R1149TS385_2.pdb     -324.936768 kBT
R1149TS131_4.pdb     -178.098536 kBT
R1149TS131_5.pdb     -211.152307 kBT
R1149TS125_5.pdb     -459.651517 kBT
R1149TS489_5.pdb     -288.278731 kBT
R1149TS131_3.pdb     -281.118057 kBT
