1jidB_M410.pdb     -72.968133 kBT
1jidB_M57.pdb     -93.329573 kBT
1jidB_M54.pdb     -117.035974 kBT
1jidB_M406.pdb     -51.060621 kBT
1jidB_M387.pdb     -75.162316 kBT
1jidB_M365.pdb     -73.987844 kBT
1jidB_M296.pdb     -90.275277 kBT
1jidB_M181.pdb     -87.063431 kBT
1jidB_M492.pdb     -76.948320 kBT
1jidB_M147.pdb     -92.853518 kBT
1jidB_M101.pdb     -99.736696 kBT
1jidB_M66.pdb     -93.133885 kBT
1jidB_M378.pdb     -79.546660 kBT
1jidB_M289.pdb     -92.564213 kBT
1jidB_M419.pdb     -94.231136 kBT
1jidB_M245.pdb     -92.303256 kBT
1jidB_M178.pdb     -82.559329 kBT
1jidB_M138.pdb     -86.692716 kBT
1jidB_M20.pdb     -113.909666 kBT
1jidB_M326.pdb     -112.357025 kBT
1jidB_M351.pdb     -100.861082 kBT
1jidB_M456.pdb     -92.713187 kBT
1jidB_M12.pdb     -122.109605 kBT
1jidB_M244.pdb     -71.509268 kBT
1jidB_M33.pdb     -103.257982 kBT
1jidB_M78.pdb     -96.571523 kBT
1jidB_M173.pdb     -105.084224 kBT
1jidB_M432.pdb     -89.806843 kBT
1jidB_M251.pdb     -86.405869 kBT
1jidB_M195.pdb     -103.419315 kBT
1jidB_M186.pdb     -116.759210 kBT
1jidB_M182.pdb     -99.213737 kBT
1jidB_M319.pdb     -94.200586 kBT
1jidB_M318.pdb     -83.225380 kBT
1jidB_M469.pdb     -91.894776 kBT
1jidB_M269.pdb     -80.646609 kBT
1jidB_M485.pdb     -64.803278 kBT
1jidB_M24.pdb     -106.076445 kBT
1jidB_M82.pdb     -101.887016 kBT
1jidB_M337.pdb     -84.678419 kBT
1jidB_M253.pdb     -85.396026 kBT
1jidB_M177.pdb     -93.192275 kBT
1jidB_M243.pdb     -94.532268 kBT
1jidB_M389.pdb     -62.978650 kBT
1jidB_M150.pdb     -91.763271 kBT
1jidB_M162.pdb     -85.883290 kBT
1jidB_M131.pdb     -91.587628 kBT
1jidB_M113.pdb     -102.814649 kBT
1jidB_M37.pdb     -108.647606 kBT
1jidB_M350.pdb     -77.362070 kBT
1jidB_M401.pdb     -78.838885 kBT
1jidB_M493.pdb     -82.938254 kBT
1jidB_M128.pdb     -93.045126 kBT
1jidB_M441.pdb     -72.974198 kBT
1jidB_M10.pdb     -126.832438 kBT
1jidB_M125.pdb     -84.754718 kBT
1jidB_M268.pdb     -94.565007 kBT
1jidB_M490.pdb     -80.988609 kBT
1jidB_M160.pdb     -105.715484 kBT
1jidB_M207.pdb     -82.006819 kBT
1jidB_M330.pdb     -72.807847 kBT
1jidB_M383.pdb     -90.036512 kBT
1jidB_M293.pdb     -72.525903 kBT
1jidB_M16.pdb     -116.190098 kBT
1jidB_M278.pdb     -91.446371 kBT
1jidB_M8.pdb     -125.787709 kBT
1jidB_M403.pdb     -57.949744 kBT
1jidB_M7.pdb     -125.019880 kBT
1jidB_M142.pdb     -89.166894 kBT
1jidB_M74.pdb     -99.519515 kBT
1jidB_M446.pdb     -67.504514 kBT
1jidB_M210.pdb     -82.698689 kBT
1jidB_M99.pdb     -115.384764 kBT
1jidB_M141.pdb     -94.287588 kBT
1jidB_M329.pdb     -62.895677 kBT
1jidB_M204.pdb     -89.845713 kBT
1jidB_M413.pdb     -82.824791 kBT
1jidB_M266.pdb     -80.524431 kBT
1jidB_M309.pdb     -101.490650 kBT
1jidB_M393.pdb     -93.543063 kBT
1jidB_M233.pdb     -90.511892 kBT
1jidB_M276.pdb     -96.046338 kBT
1jidB_M93.pdb     -93.384102 kBT
1jidB_M470.pdb     -93.689601 kBT
1jidB_M427.pdb     -96.154074 kBT
1jidB_M94.pdb     -114.549198 kBT
1jidB_M188.pdb     -79.896640 kBT
1jidB_M200.pdb     -91.031647 kBT
1jidB_M230.pdb     -87.805796 kBT
1jidB_M170.pdb     -92.777694 kBT
1jidB_M223.pdb     -76.679995 kBT
1jidB_M463.pdb     -96.283100 kBT
1jidB_M129.pdb     -73.382101 kBT
1jidB_M429.pdb     -80.363755 kBT
1jidB_M157.pdb     -101.265259 kBT
1jidB_M368.pdb     -90.723555 kBT
1jidB_M224.pdb     -80.515786 kBT
