3df3A_M294.pdb     -5268.086720 kBT
3df3A_M380.pdb     -5199.787527 kBT
3df3A_M179.pdb     -5270.159882 kBT
3df3A_M108.pdb     -5410.647055 kBT
3df3A_M148.pdb     -5370.980070 kBT
3df3A_M189.pdb     -5328.076270 kBT
3df3A_M56.pdb     -5502.157538 kBT
3df3A_M203.pdb     -5297.869177 kBT
3df3A_M272.pdb     -5269.954893 kBT
3df3A_M280.pdb     -5213.273697 kBT
3df3A_M58.pdb     -5505.491505 kBT
3df3A_M416.pdb     -5258.425104 kBT
3df3A_M331.pdb     -5192.694363 kBT
3df3A_M177.pdb     -5350.425669 kBT
3df3A_M223.pdb     -5257.566067 kBT
3df3A_M46.pdb     -5533.372871 kBT
3df3A_M178.pdb     -5357.427767 kBT
3df3A_M431.pdb     -5236.835586 kBT
3df3A_M381.pdb     -5162.729967 kBT
3df3A_M244.pdb     -5283.089299 kBT
3df3A_M488.pdb     -5270.005472 kBT
3df3A_M32.pdb     -5700.025190 kBT
3df3A_M85.pdb     -5364.697959 kBT
3df3A_M339.pdb     -5290.711608 kBT
3df3A_M332.pdb     -5202.307539 kBT
3df3A_M388.pdb     -5204.225458 kBT
3df3A_M237.pdb     -5310.583839 kBT
3df3A_M253.pdb     -5288.437596 kBT
3df3A_M385.pdb     -5289.765688 kBT
3df3A_M487.pdb     -5156.200019 kBT
3df3A_M308.pdb     -5266.167210 kBT
3df3A_M323.pdb     -5231.435851 kBT
3df3A_M292.pdb     -5278.196815 kBT
3df3A_M369.pdb     -5287.428979 kBT
3df3A_M459.pdb     -5201.182659 kBT
3df3A_M213.pdb     -5349.096342 kBT
3df3A_M28.pdb     -5767.295497 kBT
3df3A_M88.pdb     -5479.028774 kBT
3df3A_M441.pdb     -5280.085969 kBT
3df3A_M191.pdb     -5274.428234 kBT
3df3A_M92.pdb     -5464.579215 kBT
3df3A_M1.pdb     -5806.966609 kBT
3df3A_M330.pdb     -5284.385039 kBT
3df3A_M66.pdb     -5478.837446 kBT
3df3A_M262.pdb     -5271.432185 kBT
3df3A_M460.pdb     -5258.289495 kBT
3df3A_M10.pdb     -5869.948171 kBT
3df3A_M326.pdb     -5248.551844 kBT
3df3A_M267.pdb     -5216.989833 kBT
3df3A_M87.pdb     -5476.891345 kBT
