2quxR_M199.pdb     -112.606056 kBT
2quxR_M250.pdb     -91.561099 kBT
2quxR_M224.pdb     -102.947217 kBT
2quxR_M108.pdb     -108.702505 kBT
2quxR_M248.pdb     -112.152535 kBT
2quxR_M318.pdb     -115.554516 kBT
2quxR_M408.pdb     -86.970679 kBT
2quxR_M245.pdb     -98.479237 kBT
2quxR_M371.pdb     -105.989493 kBT
2quxR_M143.pdb     -114.311438 kBT
2quxR_M410.pdb     -83.805146 kBT
2quxR_M109.pdb     -120.667537 kBT
2quxR_M70.pdb     -125.907449 kBT
2quxR_M121.pdb     -115.395064 kBT
2quxR_M202.pdb     -106.563405 kBT
2quxR_M168.pdb     -121.323433 kBT
2quxR_M472.pdb     -81.326360 kBT
2quxR_M110.pdb     -103.739202 kBT
2quxR_M350.pdb     -110.650192 kBT
2quxR_M206.pdb     -107.236171 kBT
2quxR_M479.pdb     -103.098065 kBT
2quxR_M155.pdb     -101.981019 kBT
2quxR_M369.pdb     -100.249724 kBT
2quxR_M396.pdb     -109.309387 kBT
2quxR_M226.pdb     -97.084134 kBT
2quxR_M236.pdb     -73.213237 kBT
2quxR_M24.pdb     -128.430816 kBT
2quxR_M100.pdb     -111.280023 kBT
2quxR_M92.pdb     -108.024494 kBT
2quxR_M241.pdb     -107.011277 kBT
2quxR_M185.pdb     -105.847920 kBT
2quxR_M467.pdb     -92.919575 kBT
2quxR_M301.pdb     -89.083565 kBT
2quxR_M81.pdb     -97.723568 kBT
2quxR_M6.pdb     -139.030991 kBT
2quxR_M3.pdb     -140.931111 kBT
2quxR_M489.pdb     -106.856285 kBT
2quxR_M459.pdb     -89.659431 kBT
2quxR_M261.pdb     -89.804055 kBT
2quxR_M65.pdb     -116.105007 kBT
2quxR_M291.pdb     -89.443426 kBT
2quxR_M66.pdb     -106.846000 kBT
2quxR_M76.pdb     -117.729849 kBT
2quxR_M200.pdb     -98.443446 kBT
2quxR_M480.pdb     -110.893804 kBT
2quxR_M339.pdb     -114.075857 kBT
2quxR_M162.pdb     -100.073753 kBT
2quxR_M99.pdb     -119.940830 kBT
2quxR_M57.pdb     -125.727185 kBT
2quxR_M158.pdb     -115.765350 kBT
2quxR_M117.pdb     -111.638727 kBT
2quxR_M149.pdb     -100.284762 kBT
2quxR_M475.pdb     -85.492522 kBT
2quxR_M484.pdb     -82.998916 kBT
2quxR_M230.pdb     -106.228552 kBT
2quxR_M131.pdb     -102.084220 kBT
2quxR_M295.pdb     -94.540986 kBT
2quxR_M36.pdb     -132.549560 kBT
2quxR_M251.pdb     -109.065635 kBT
2quxR_M18.pdb     -126.850789 kBT
2quxR_M363.pdb     -71.897259 kBT
2quxR_M328.pdb     -68.205525 kBT
2quxR_M59.pdb     -109.515186 kBT
2quxR_M244.pdb     -91.318044 kBT
2quxR_M430.pdb     -78.721629 kBT
2quxR_M43.pdb     -121.565242 kBT
2quxR_M406.pdb     -68.771017 kBT
2quxR_M473.pdb     -88.793842 kBT
2quxR_M197.pdb     -115.722429 kBT
2quxR_M157.pdb     -98.665546 kBT
