1kxkA_M221.pdb     -283.850783 kBT
1kxkA_M244.pdb     -257.532994 kBT
1kxkA_M134.pdb     -267.015440 kBT
1kxkA_M183.pdb     -263.115505 kBT
1kxkA_M499.pdb     -235.944331 kBT
1kxkA_M103.pdb     -272.220760 kBT
1kxkA_M229.pdb     -243.280026 kBT
1kxkA_M308.pdb     -253.309041 kBT
1kxkA_M327.pdb     -225.014720 kBT
1kxkA_M47.pdb     -274.404188 kBT
1kxkA_M37.pdb     -297.490585 kBT
1kxkA_M56.pdb     -277.637596 kBT
1kxkA_M485.pdb     -249.025856 kBT
1kxkA_M187.pdb     -248.834548 kBT
1kxkA_M452.pdb     -254.509493 kBT
1kxkA_M239.pdb     -245.318111 kBT
1kxkA_M34.pdb     -285.521067 kBT
1kxkA_M51.pdb     -265.488514 kBT
1kxkA_M467.pdb     -254.830346 kBT
1kxkA_M366.pdb     -242.450896 kBT
1kxkA_M253.pdb     -247.346600 kBT
1kxkA_M400.pdb     -218.570706 kBT
1kxkA_M19.pdb     -304.117744 kBT
1kxkA_M441.pdb     -260.864848 kBT
1kxkA_M220.pdb     -251.069067 kBT
1kxkA_M59.pdb     -290.157479 kBT
1kxkA_M58.pdb     -267.364547 kBT
1kxkA_M343.pdb     -239.180838 kBT
1kxkA_M7.pdb     -299.318806 kBT
1kxkA_M209.pdb     -251.184520 kBT
1kxkA_M94.pdb     -275.595065 kBT
1kxkA_M281.pdb     -238.100914 kBT
1kxkA_M50.pdb     -273.710424 kBT
1kxkA_M12.pdb     -311.846274 kBT
1kxkA_M211.pdb     -250.004864 kBT
1kxkA_M192.pdb     -254.445408 kBT
1kxkA_M115.pdb     -258.769824 kBT
1kxkA_M417.pdb     -246.490969 kBT
1kxkA_M105.pdb     -263.763345 kBT
1kxkA_M389.pdb     -270.135269 kBT
1kxkA_M231.pdb     -240.002629 kBT
1kxkA_M329.pdb     -251.954622 kBT
1kxkA_M85.pdb     -265.655052 kBT
1kxkA_M259.pdb     -264.968626 kBT
1kxkA_M340.pdb     -248.256534 kBT
1kxkA_M222.pdb     -263.188746 kBT
1kxkA_M200.pdb     -263.621212 kBT
