2w2hS_M431.pdb     -81.810535 kBT
2w2hS_M308.pdb     -90.144360 kBT
2w2hS_M125.pdb     -87.799995 kBT
2w2hS_M154.pdb     -81.447231 kBT
2w2hS_M51.pdb     -90.743595 kBT
2w2hS_M65.pdb     -100.604357 kBT
2w2hS_M70.pdb     -102.851258 kBT
2w2hS_M10.pdb     -108.759147 kBT
2w2hS_M140.pdb     -86.079340 kBT
2w2hS_M267.pdb     -104.897627 kBT
2w2hS_M50.pdb     -93.391073 kBT
2w2hS_M407.pdb     -85.688078 kBT
2w2hS_M425.pdb     -100.678156 kBT
2w2hS_M105.pdb     -94.667494 kBT
2w2hS_M231.pdb     -104.930330 kBT
2w2hS_M328.pdb     -94.026994 kBT
2w2hS_M420.pdb     -87.656554 kBT
2w2hS_M299.pdb     -93.734541 kBT
2w2hS_M134.pdb     -100.620104 kBT
2w2hS_M352.pdb     -91.413034 kBT
2w2hS_M497.pdb     -71.148436 kBT
2w2hS_M370.pdb     -86.630401 kBT
2w2hS_M366.pdb     -87.017219 kBT
2w2hS_M132.pdb     -83.694079 kBT
2w2hS_M329.pdb     -95.428084 kBT
2w2hS_M481.pdb     -88.138629 kBT
2w2hS_M408.pdb     -86.155614 kBT
2w2hS_M94.pdb     -85.167534 kBT
2w2hS_M326.pdb     -78.209793 kBT
2w2hS_M58.pdb     -108.281382 kBT
2w2hS_M313.pdb     -88.464688 kBT
2w2hS_M103.pdb     -98.103921 kBT
2w2hS_M294.pdb     -94.444074 kBT
2w2hS_M160.pdb     -98.213748 kBT
2w2hS_M496.pdb     -83.703547 kBT
2w2hS_M489.pdb     -92.957303 kBT
2w2hS_M53.pdb     -89.649800 kBT
2w2hS_M208.pdb     -91.421588 kBT
2w2hS_M127.pdb     -100.514812 kBT
2w2hS_M459.pdb     -81.033930 kBT
2w2hS_M110.pdb     -99.560635 kBT
2w2hS_M405.pdb     -67.166362 kBT
2w2hS_M236.pdb     -82.576112 kBT
2w2hS_M499.pdb     -82.186165 kBT
2w2hS_M95.pdb     -93.374812 kBT
2w2hS_M98.pdb     -95.695242 kBT
2w2hS_M165.pdb     -89.363731 kBT
2w2hS_M466.pdb     -89.971039 kBT
2w2hS_M31.pdb     -100.979478 kBT
2w2hS_M392.pdb     -89.694851 kBT
2w2hS_M43.pdb     -89.604926 kBT
2w2hS_M305.pdb     -100.517824 kBT
2w2hS_M77.pdb     -97.529338 kBT
2w2hS_M479.pdb     -85.366286 kBT
2w2hS_M365.pdb     -85.023064 kBT
2w2hS_M27.pdb     -102.606446 kBT
2w2hS_M15.pdb     -108.216400 kBT
2w2hS_M339.pdb     -98.598240 kBT
2w2hS_M114.pdb     -94.819371 kBT
2w2hS_M223.pdb     -110.797491 kBT
2w2hS_M11.pdb     -107.148979 kBT
2w2hS_M111.pdb     -84.108862 kBT
2w2hS_M285.pdb     -83.880007 kBT
2w2hS_M29.pdb     -103.295489 kBT
2w2hS_M429.pdb     -87.390413 kBT
2w2hS_M38.pdb     -96.140814 kBT
2w2hS_M341.pdb     -89.105831 kBT
2w2hS_M67.pdb     -98.261614 kBT
2w2hS_M171.pdb     -96.694553 kBT
2w2hS_M90.pdb     -93.958202 kBT
2w2hS_M33.pdb     -97.289973 kBT
2w2hS_M184.pdb     -93.492826 kBT
2w2hS_M399.pdb     -83.904097 kBT
2w2hS_M100.pdb     -92.213057 kBT
2w2hS_M437.pdb     -88.734854 kBT
2w2hS_M291.pdb     -91.015002 kBT
2w2hS_M490.pdb     -76.393745 kBT
2w2hS_M161.pdb     -93.220541 kBT
2w2hS_M108.pdb     -97.643102 kBT
2w2hS_M84.pdb     -82.294645 kBT
2w2hS_M200.pdb     -83.773804 kBT
2w2hS_M290.pdb     -106.054556 kBT
2w2hS_M101.pdb     -89.262307 kBT
2w2hS_M448.pdb     -86.494026 kBT
2w2hS_M263.pdb     -87.988856 kBT
2w2hS_M99.pdb     -88.871490 kBT
2w2hS_M229.pdb     -97.757103 kBT
2w2hS_M348.pdb     -76.590769 kBT
2w2hS_M271.pdb     -82.799272 kBT
2w2hS_M346.pdb     -84.813530 kBT
2w2hS_M412.pdb     -97.571450 kBT
2w2hS_M413.pdb     -79.528477 kBT
2w2hS_M421.pdb     -71.298518 kBT
2w2hS_M325.pdb     -95.446113 kBT
2w2hS_M86.pdb     -104.281805 kBT
2w2hS_M202.pdb     -77.221630 kBT
2w2hS_M279.pdb     -83.658323 kBT
2w2hS_M338.pdb     -88.345487 kBT
2w2hS_M215.pdb     -103.405459 kBT
2w2hS_M373.pdb     -96.505219 kBT
2w2hS_M147.pdb     -80.278978 kBT
2w2hS_M397.pdb     -88.374939 kBT
2w2hS_M173.pdb     -80.507381 kBT
2w2hS_M49.pdb     -93.215962 kBT
2w2hS_M450.pdb     -90.272785 kBT
2w2hS_M196.pdb     -83.851359 kBT
2w2hS_M273.pdb     -88.287252 kBT
2w2hS_M91.pdb     -104.385234 kBT
2w2hS_M493.pdb     -91.506859 kBT
2w2hS_M96.pdb     -92.914906 kBT
2w2hS_M155.pdb     -90.828496 kBT
2w2hS_M447.pdb     -92.923239 kBT
2w2hS_M379.pdb     -93.184587 kBT
2w2hS.pdb     -109.933724 kBT
2w2hS_M225.pdb     -94.902911 kBT
2w2hS_M442.pdb     -80.758818 kBT
2w2hS_M312.pdb     -95.877016 kBT
2w2hS_M483.pdb     -84.135022 kBT
2w2hS_M201.pdb     -91.749194 kBT
2w2hS_M56.pdb     -95.965677 kBT
2w2hS_M309.pdb     -84.459361 kBT
2w2hS_M59.pdb     -97.649373 kBT
2w2hS_M278.pdb     -76.528544 kBT
2w2hS_M297.pdb     -84.357885 kBT
2w2hS_M349.pdb     -92.816214 kBT
2w2hS_M7.pdb     -109.040913 kBT
2w2hS_M18.pdb     -104.224354 kBT
2w2hS_M16.pdb     -102.149750 kBT
2w2hS_M427.pdb     -86.371007 kBT
2w2hS_M495.pdb     -79.188893 kBT
2w2hS_M149.pdb     -89.681295 kBT
2w2hS_M391.pdb     -78.999544 kBT
2w2hS_M9.pdb     -107.052907 kBT
2w2hS_M157.pdb     -95.927221 kBT
2w2hS_M446.pdb     -88.645308 kBT
2w2hS_M414.pdb     -87.465122 kBT
2w2hS_M217.pdb     -108.691822 kBT
2w2hS_M88.pdb     -96.401862 kBT
2w2hS_M484.pdb     -88.852269 kBT
2w2hS_M143.pdb     -82.533275 kBT
2w2hS_M472.pdb     -87.627018 kBT
2w2hS_M487.pdb     -79.477678 kBT
2w2hS_M117.pdb     -96.159708 kBT
2w2hS_M303.pdb     -75.597683 kBT
2w2hS_M151.pdb     -82.100464 kBT
2w2hS_M52.pdb     -97.858495 kBT
2w2hS_M390.pdb     -84.417536 kBT
2w2hS_M128.pdb     -85.829174 kBT
2w2hS_M402.pdb     -83.542609 kBT
2w2hS_M307.pdb     -91.094463 kBT
2w2hS_M260.pdb     -90.840310 kBT
2w2hS_M480.pdb     -91.475237 kBT
2w2hS_M235.pdb     -87.720412 kBT
2w2hS_M324.pdb     -87.609609 kBT
2w2hS_M232.pdb     -100.967632 kBT
2w2hS_M288.pdb     -89.284798 kBT
2w2hS_M259.pdb     -117.756149 kBT
2w2hS_M432.pdb     -69.637179 kBT
2w2hS_M109.pdb     -98.686783 kBT
2w2hS_M3.pdb     -110.773073 kBT
2w2hS_M159.pdb     -91.137973 kBT
2w2hS_M233.pdb     -72.298103 kBT
2w2hS_M178.pdb     -91.973948 kBT
2w2hS_M435.pdb     -84.361549 kBT
2w2hS_M207.pdb     -90.640972 kBT
2w2hS_M162.pdb     -91.627747 kBT
2w2hS_M403.pdb     -67.443863 kBT
2w2hS_M242.pdb     -87.873518 kBT
2w2hS_M30.pdb     -102.869965 kBT
2w2hS_M34.pdb     -99.114398 kBT
2w2hS_M295.pdb     -96.727569 kBT
2w2hS_M498.pdb     -97.344965 kBT
2w2hS_M347.pdb     -79.209201 kBT
2w2hS_M166.pdb     -93.544240 kBT
2w2hS_M417.pdb     -98.438005 kBT
2w2hS_M141.pdb     -85.608567 kBT
2w2hS_M25.pdb     -92.304744 kBT
2w2hS_M26.pdb     -109.151297 kBT
2w2hS_M298.pdb     -82.767981 kBT
2w2hS_M4.pdb     -107.476252 kBT
2w2hS_M293.pdb     -94.263411 kBT
2w2hS_M61.pdb     -100.227254 kBT
2w2hS_M357.pdb     -72.201216 kBT
2w2hS_M436.pdb     -90.115609 kBT
2w2hS_M415.pdb     -80.118320 kBT
2w2hS_M272.pdb     -92.596299 kBT
2w2hS_M6.pdb     -110.259907 kBT
2w2hS_M471.pdb     -85.322674 kBT
2w2hS_M443.pdb     -79.660601 kBT
2w2hS_M152.pdb     -84.027274 kBT
2w2hS_M492.pdb     -102.655907 kBT
2w2hS_M476.pdb     -82.702440 kBT
2w2hS_M5.pdb     -107.443349 kBT
2w2hS_M261.pdb     -95.671668 kBT
2w2hS_M445.pdb     -84.506483 kBT
2w2hS_M230.pdb     -73.491551 kBT
2w2hS_M45.pdb     -90.087408 kBT
2w2hS_M306.pdb     -90.476623 kBT
2w2hS_M389.pdb     -90.776959 kBT
2w2hS_M486.pdb     -96.968383 kBT
2w2hS_M276.pdb     -95.032153 kBT
2w2hS_M8.pdb     -110.397455 kBT
2w2hS_M358.pdb     -99.250180 kBT
2w2hS_M112.pdb     -96.713605 kBT
2w2hS_M129.pdb     -99.114611 kBT
2w2hS_M404.pdb     -92.359698 kBT
2w2hS_M46.pdb     -95.815456 kBT
2w2hS_M333.pdb     -90.810699 kBT
2w2hS_M335.pdb     -86.558183 kBT
2w2hS_M246.pdb     -91.846283 kBT
2w2hS_M323.pdb     -101.542626 kBT
2w2hS_M248.pdb     -92.418816 kBT
2w2hS_M13.pdb     -102.149866 kBT
2w2hS_M334.pdb     -76.542741 kBT
2w2hS_M28.pdb     -98.535994 kBT
