1kuqB_M289.pdb     -186.086850 kBT
1kuqB_M469.pdb     -190.249088 kBT
1kuqB_M197.pdb     -197.700945 kBT
1kuqB_M45.pdb     -214.244228 kBT
1kuqB_M99.pdb     -191.560264 kBT
1kuqB_M12.pdb     -230.943992 kBT
1kuqB_M489.pdb     -192.242956 kBT
1kuqB_M478.pdb     -196.954928 kBT
1kuqB_M482.pdb     -184.331038 kBT
1kuqB_M369.pdb     -189.570279 kBT
1kuqB_M82.pdb     -191.548929 kBT
1kuqB_M189.pdb     -196.155465 kBT
1kuqB_M221.pdb     -183.780340 kBT
1kuqB_M468.pdb     -181.733276 kBT
1kuqB_M435.pdb     -184.563725 kBT
1kuqB_M324.pdb     -190.169062 kBT
1kuqB_M27.pdb     -217.895892 kBT
1kuqB_M136.pdb     -210.920595 kBT
1kuqB_M342.pdb     -191.465532 kBT
1kuqB_M232.pdb     -194.874019 kBT
1kuqB_M279.pdb     -172.457430 kBT
1kuqB_M83.pdb     -193.261138 kBT
1kuqB_M220.pdb     -185.926527 kBT
1kuqB_M480.pdb     -169.277221 kBT
1kuqB_M39.pdb     -207.174884 kBT
1kuqB_M198.pdb     -208.499917 kBT
1kuqB_M377.pdb     -192.174499 kBT
1kuqB_M388.pdb     -209.179859 kBT
1kuqB_M91.pdb     -212.927750 kBT
1kuqB_M240.pdb     -176.883223 kBT
1kuqB_M79.pdb     -209.665055 kBT
1kuqB_M46.pdb     -196.998197 kBT
1kuqB_M113.pdb     -198.740873 kBT
1kuqB_M466.pdb     -195.727956 kBT
1kuqB_M2.pdb     -223.060718 kBT
1kuqB_M451.pdb     -201.414981 kBT
1kuqB_M418.pdb     -187.096837 kBT
1kuqB_M426.pdb     -189.350723 kBT
1kuqB_M167.pdb     -157.501901 kBT
1kuqB_M271.pdb     -178.588331 kBT
1kuqB_M362.pdb     -176.995942 kBT
1kuqB_M163.pdb     -197.432486 kBT
1kuqB_M323.pdb     -173.683110 kBT
1kuqB_M282.pdb     -181.789486 kBT
1kuqB_M273.pdb     -181.406775 kBT
1kuqB_M339.pdb     -177.254770 kBT
1kuqB_M135.pdb     -179.496749 kBT
1kuqB_M281.pdb     -192.746384 kBT
1kuqB_M401.pdb     -178.762649 kBT
1kuqB_M8.pdb     -225.945789 kBT
1kuqB_M65.pdb     -197.045504 kBT
1kuqB_M120.pdb     -204.066583 kBT
1kuqB_M291.pdb     -196.034119 kBT
1kuqB_M250.pdb     -189.994697 kBT
1kuqB_M383.pdb     -208.245097 kBT
1kuqB_M88.pdb     -197.623723 kBT
1kuqB_M259.pdb     -200.023032 kBT
1kuqB_M304.pdb     -187.015499 kBT
1kuqB_M317.pdb     -185.742930 kBT
1kuqB_M203.pdb     -172.673159 kBT
1kuqB_M319.pdb     -183.338806 kBT
1kuqB_M446.pdb     -198.973854 kBT
1kuqB_M227.pdb     -177.868916 kBT
1kuqB_M54.pdb     -213.808421 kBT
1kuqB_M186.pdb     -210.969119 kBT
1kuqB_M248.pdb     -205.312168 kBT
1kuqB_M425.pdb     -176.520785 kBT
1kuqB_M332.pdb     -178.199565 kBT
1kuqB_M436.pdb     -197.828358 kBT
1kuqB_M380.pdb     -190.513363 kBT
1kuqB_M172.pdb     -187.354739 kBT
1kuqB_M210.pdb     -201.619564 kBT
1kuqB_M399.pdb     -175.620829 kBT
1kuqB_M102.pdb     -198.806970 kBT
1kuqB_M158.pdb     -194.367989 kBT
1kuqB_M306.pdb     -173.173669 kBT
1kuqB_M280.pdb     -176.161265 kBT
1kuqB_M417.pdb     -179.480932 kBT
1kuqB_M66.pdb     -200.187148 kBT
1kuqB_M212.pdb     -205.415439 kBT
1kuqB_M235.pdb     -196.463552 kBT
1kuqB_M254.pdb     -201.573387 kBT
1kuqB_M412.pdb     -176.084587 kBT
1kuqB_M437.pdb     -181.715513 kBT
1kuqB.pdb     -232.398488 kBT
1kuqB_M209.pdb     -198.738755 kBT
1kuqB_M403.pdb     -196.676118 kBT
1kuqB_M302.pdb     -208.347141 kBT
1kuqB_M449.pdb     -185.548522 kBT
1kuqB_M23.pdb     -223.004135 kBT
1kuqB_M43.pdb     -203.396184 kBT
1kuqB_M285.pdb     -203.890643 kBT
1kuqB_M34.pdb     -205.699755 kBT
1kuqB_M298.pdb     -175.256438 kBT
1kuqB_M141.pdb     -189.872967 kBT
1kuqB_M140.pdb     -195.359515 kBT
1kuqB_M391.pdb     -182.156284 kBT
1kuqB_M162.pdb     -195.622820 kBT
1kuqB_M344.pdb     -179.560399 kBT
1kuqB_M193.pdb     -195.114713 kBT
1kuqB_M434.pdb     -188.704080 kBT
1kuqB_M28.pdb     -213.293052 kBT
1kuqB_M48.pdb     -219.291055 kBT
1kuqB_M494.pdb     -187.706549 kBT
1kuqB_M213.pdb     -179.046703 kBT
1kuqB_M381.pdb     -175.988865 kBT
