437dA_M418.pdb     -120.928694 kBT
437dA_M154.pdb     -118.323429 kBT
437dA_M73.pdb     -134.332704 kBT
437dA_M259.pdb     -116.089304 kBT
437dA_M165.pdb     -136.219895 kBT
437dA_M494.pdb     -95.117997 kBT
437dA_M478.pdb     -125.097247 kBT
437dA_M466.pdb     -101.485234 kBT
437dA_M172.pdb     -134.539994 kBT
437dA_M431.pdb     -112.948087 kBT
437dA_M256.pdb     -113.217483 kBT
437dA_M4.pdb     -149.770399 kBT
437dA_M377.pdb     -130.042143 kBT
437dA_M291.pdb     -133.381915 kBT
437dA_M234.pdb     -124.603747 kBT
437dA_M130.pdb     -133.729229 kBT
437dA_M288.pdb     -126.663709 kBT
437dA_M226.pdb     -138.191328 kBT
437dA_M412.pdb     -115.381481 kBT
437dA_M133.pdb     -133.420235 kBT
437dA_M145.pdb     -129.537035 kBT
437dA_M188.pdb     -125.712648 kBT
437dA_M428.pdb     -94.227160 kBT
437dA_M313.pdb     -121.186177 kBT
437dA_M265.pdb     -146.610983 kBT
437dA_M85.pdb     -131.637374 kBT
437dA_M498.pdb     -119.734434 kBT
437dA_M127.pdb     -118.931885 kBT
437dA_M273.pdb     -149.633788 kBT
437dA_M351.pdb     -103.385260 kBT
437dA_M218.pdb     -128.370081 kBT
437dA_M21.pdb     -138.421172 kBT
437dA_M287.pdb     -112.666839 kBT
437dA_M51.pdb     -138.396186 kBT
437dA_M223.pdb     -125.462739 kBT
437dA_M495.pdb     -124.873481 kBT
437dA_M355.pdb     -127.546262 kBT
437dA_M109.pdb     -114.318633 kBT
437dA_M104.pdb     -136.694360 kBT
437dA_M182.pdb     -140.565545 kBT
437dA_M38.pdb     -141.905370 kBT
437dA_M307.pdb     -123.740022 kBT
437dA_M449.pdb     -103.802270 kBT
437dA_M292.pdb     -120.815647 kBT
437dA_M354.pdb     -111.399053 kBT
437dA_M93.pdb     -132.331451 kBT
437dA_M240.pdb     -139.701583 kBT
437dA_M207.pdb     -116.432709 kBT
437dA_M374.pdb     -128.288224 kBT
437dA_M441.pdb     -127.638598 kBT
437dA_M417.pdb     -116.871383 kBT
437dA_M142.pdb     -132.644286 kBT
437dA_M52.pdb     -138.527046 kBT
437dA_M15.pdb     -137.627471 kBT
437dA_M32.pdb     -138.982553 kBT
437dA_M97.pdb     -124.135568 kBT
437dA_M297.pdb     -134.614264 kBT
437dA_M65.pdb     -132.734079 kBT
437dA_M39.pdb     -145.095518 kBT
437dA_M44.pdb     -141.081533 kBT
437dA_M194.pdb     -122.222591 kBT
437dA_M393.pdb     -137.411258 kBT
