1y26X_M193.pdb     -423.273563 kBT
1y26X_M187.pdb     -518.383610 kBT
1y26X_M451.pdb     -424.652703 kBT
1y26X_M209.pdb     -493.308539 kBT
1y26X_M469.pdb     -437.169688 kBT
1y26X_M86.pdb     -515.280238 kBT
1y26X_M49.pdb     -575.352598 kBT
1y26X_M426.pdb     -413.438336 kBT
1y26X_M153.pdb     -526.000648 kBT
1y26X_M411.pdb     -442.714125 kBT
1y26X_M251.pdb     -473.434729 kBT
1y26X_M141.pdb     -514.608417 kBT
1y26X_M13.pdb     -637.915877 kBT
1y26X_M306.pdb     -451.042169 kBT
1y26X_M278.pdb     -445.854142 kBT
1y26X_M14.pdb     -610.918088 kBT
1y26X_M34.pdb     -548.452153 kBT
1y26X_M267.pdb     -454.632702 kBT
1y26X_M444.pdb     -460.651952 kBT
1y26X_M182.pdb     -513.682039 kBT
1y26X_M301.pdb     -397.713858 kBT
1y26X_M123.pdb     -502.469561 kBT
1y26X_M243.pdb     -478.219782 kBT
1y26X_M499.pdb     -469.348975 kBT
1y26X_M281.pdb     -457.559114 kBT
1y26X_M365.pdb     -446.077825 kBT
1y26X_M438.pdb     -430.085438 kBT
1y26X_M146.pdb     -515.301122 kBT
1y26X_M486.pdb     -439.557619 kBT
1y26X_M309.pdb     -452.079437 kBT
1y26X_M65.pdb     -548.397396 kBT
1y26X_M131.pdb     -532.317936 kBT
1y26X_M172.pdb     -512.768663 kBT
1y26X_M29.pdb     -577.617750 kBT
1y26X_M237.pdb     -460.816536 kBT
1y26X_M135.pdb     -486.171650 kBT
1y26X_M482.pdb     -393.062968 kBT
1y26X_M360.pdb     -470.535127 kBT
1y26X_M186.pdb     -480.705618 kBT
1y26X_M259.pdb     -457.761222 kBT
1y26X_M489.pdb     -417.360777 kBT
1y26X_M361.pdb     -463.657966 kBT
1y26X_M26.pdb     -606.715795 kBT
1y26X_M85.pdb     -523.580257 kBT
1y26X_M179.pdb     -450.703211 kBT
1y26X_M39.pdb     -566.787335 kBT
1y26X_M296.pdb     -455.542101 kBT
1y26X_M388.pdb     -379.669244 kBT
1y26X_M284.pdb     -444.875168 kBT
1y26X_M473.pdb     -447.708844 kBT
1y26X_M69.pdb     -508.549132 kBT
1y26X_M222.pdb     -495.221765 kBT
1y26X_M399.pdb     -412.332374 kBT
1y26X_M406.pdb     -466.786478 kBT
1y26X_M462.pdb     -464.305722 kBT
1y26X_M258.pdb     -491.310182 kBT
1y26X_M24.pdb     -611.408314 kBT
1y26X_M456.pdb     -426.758281 kBT
1y26X_M470.pdb     -420.719408 kBT
1y26X_M333.pdb     -470.120584 kBT
1y26X_M283.pdb     -431.293773 kBT
1y26X_M100.pdb     -541.195013 kBT
1y26X_M321.pdb     -473.544549 kBT
1y26X_M139.pdb     -473.048534 kBT
1y26X_M410.pdb     -399.399039 kBT
1y26X_M66.pdb     -526.802053 kBT
1y26X_M442.pdb     -377.213166 kBT
1y26X_M362.pdb     -486.472312 kBT
1y26X_M95.pdb     -528.867092 kBT
1y26X_M53.pdb     -557.598087 kBT
1y26X_M91.pdb     -515.844320 kBT
1y26X_M10.pdb     -631.520129 kBT
1y26X_M204.pdb     -475.303238 kBT
1y26X_M206.pdb     -501.877527 kBT
1y26X_M423.pdb     -445.175614 kBT
1y26X_M76.pdb     -549.454598 kBT
1y26X_M156.pdb     -498.449140 kBT
1y26X_M343.pdb     -497.389077 kBT
1y26X_M349.pdb     -442.354029 kBT
1y26X_M4.pdb     -653.058996 kBT
1y26X_M96.pdb     -494.095211 kBT
1y26X_M289.pdb     -475.149764 kBT
1y26X_M105.pdb     -546.728882 kBT
1y26X_M300.pdb     -455.287580 kBT
1y26X_M75.pdb     -539.114551 kBT
1y26X_M225.pdb     -444.343723 kBT
1y26X_M214.pdb     -480.088232 kBT
1y26X_M194.pdb     -437.472447 kBT
1y26X_M190.pdb     -472.645408 kBT
1y26X_M495.pdb     -469.466972 kBT
1y26X_M405.pdb     -474.622632 kBT
1y26X_M200.pdb     -465.164877 kBT
1y26X_M409.pdb     -436.691894 kBT
1y26X_M92.pdb     -537.671086 kBT
1y26X_M124.pdb     -516.288632 kBT
1y26X_M87.pdb     -507.236660 kBT
1y26X_M421.pdb     -415.782235 kBT
1y26X_M381.pdb     -436.398788 kBT
1y26X_M314.pdb     -467.357320 kBT
1y26X_M138.pdb     -480.229383 kBT
1y26X_M203.pdb     -522.493432 kBT
1y26X_M240.pdb     -447.906743 kBT
1y26X_M380.pdb     -403.240100 kBT
1y26X_M19.pdb     -633.913082 kBT
1y26X_M307.pdb     -452.156694 kBT
1y26X_M165.pdb     -493.981855 kBT
1y26X_M364.pdb     -457.300583 kBT
1y26X_M497.pdb     -452.040372 kBT
1y26X_M319.pdb     -465.477865 kBT
1y26X_M181.pdb     -473.603595 kBT
1y26X_M337.pdb     -462.212985 kBT
1y26X_M205.pdb     -485.205653 kBT
1y26X_M126.pdb     -519.364486 kBT
1y26X_M3.pdb     -638.080015 kBT
1y26X_M68.pdb     -554.820157 kBT
1y26X_M114.pdb     -517.931553 kBT
1y26X_M500.pdb     -454.407656 kBT
1y26X_M340.pdb     -444.652487 kBT
1y26X_M8.pdb     -646.752179 kBT
1y26X_M112.pdb     -536.739726 kBT
1y26X_M291.pdb     -493.824419 kBT
1y26X_M439.pdb     -435.588632 kBT
1y26X_M434.pdb     -429.285609 kBT
1y26X_M253.pdb     -444.719072 kBT
1y26X_M396.pdb     -401.206845 kBT
1y26X_M40.pdb     -589.444187 kBT
1y26X_M326.pdb     -461.918450 kBT
1y26X_M407.pdb     -414.897529 kBT
1y26X_M481.pdb     -445.152592 kBT
1y26X_M312.pdb     -456.583259 kBT
1y26X_M110.pdb     -513.072761 kBT
1y26X_M170.pdb     -460.062405 kBT
1y26X_M345.pdb     -442.278441 kBT
1y26X_M219.pdb     -452.185470 kBT
1y26X_M220.pdb     -483.190030 kBT
1y26X_M45.pdb     -565.043577 kBT
1y26X_M52.pdb     -578.903984 kBT
1y26X_M241.pdb     -482.016497 kBT
1y26X_M163.pdb     -493.274287 kBT
1y26X_M358.pdb     -433.355021 kBT
1y26X_M277.pdb     -454.847152 kBT
1y26X_M227.pdb     -495.171601 kBT
1y26X_M274.pdb     -499.909100 kBT
1y26X_M32.pdb     -579.595039 kBT
1y26X_M471.pdb     -440.128472 kBT
1y26X_M313.pdb     -481.186542 kBT
1y26X_M27.pdb     -614.409930 kBT
1y26X_M359.pdb     -499.245792 kBT
1y26X_M443.pdb     -424.027519 kBT
1y26X_M233.pdb     -458.290135 kBT
1y26X_M457.pdb     -427.526788 kBT
1y26X_M463.pdb     -448.281791 kBT
1y26X_M25.pdb     -574.398074 kBT
1y26X_M369.pdb     -485.900053 kBT
1y26X_M467.pdb     -436.264144 kBT
1y26X_M339.pdb     -443.468728 kBT
1y26X_M51.pdb     -587.083341 kBT
1y26X_M372.pdb     -488.790599 kBT
1y26X_M67.pdb     -525.853540 kBT
1y26X_M427.pdb     -456.550680 kBT
1y26X_M119.pdb     -557.011921 kBT
1y26X.pdb     -722.221936 kBT
1y26X_M310.pdb     -417.390266 kBT
1y26X_M130.pdb     -497.979145 kBT
1y26X_M449.pdb     -454.339776 kBT
