1zl3B_M485.pdb     -165.791567 kBT
1zl3B_M216.pdb     -169.919994 kBT
1zl3B_M167.pdb     -185.064158 kBT
1zl3B_M186.pdb     -178.140549 kBT
1zl3B_M13.pdb     -261.182690 kBT
1zl3B_M492.pdb     -144.097219 kBT
1zl3B_M362.pdb     -164.320598 kBT
1zl3B_M70.pdb     -225.399817 kBT
1zl3B_M106.pdb     -188.848532 kBT
1zl3B_M159.pdb     -190.777099 kBT
1zl3B_M385.pdb     -180.013761 kBT
1zl3B_M357.pdb     -159.142381 kBT
1zl3B_M442.pdb     -188.219493 kBT
1zl3B_M92.pdb     -213.490910 kBT
1zl3B_M352.pdb     -170.083124 kBT
1zl3B_M341.pdb     -146.849660 kBT
1zl3B_M72.pdb     -192.046076 kBT
1zl3B_M368.pdb     -184.303497 kBT
1zl3B_M14.pdb     -250.354689 kBT
1zl3B_M217.pdb     -184.850197 kBT
1zl3B_M382.pdb     -137.424775 kBT
1zl3B_M269.pdb     -169.156998 kBT
1zl3B_M120.pdb     -185.829973 kBT
1zl3B_M391.pdb     -167.885133 kBT
1zl3B_M123.pdb     -183.889484 kBT
1zl3B_M82.pdb     -217.133245 kBT
1zl3B_M303.pdb     -194.038470 kBT
1zl3B_M46.pdb     -225.298106 kBT
1zl3B_M299.pdb     -178.780789 kBT
1zl3B_M97.pdb     -208.757107 kBT
1zl3B_M363.pdb     -177.388159 kBT
1zl3B_M190.pdb     -170.059699 kBT
1zl3B_M396.pdb     -150.468968 kBT
1zl3B_M162.pdb     -181.833925 kBT
1zl3B_M38.pdb     -247.056445 kBT
1zl3B_M194.pdb     -166.965854 kBT
1zl3B_M288.pdb     -193.436445 kBT
1zl3B_M21.pdb     -251.906697 kBT
1zl3B_M388.pdb     -157.007859 kBT
1zl3B_M181.pdb     -189.732534 kBT
1zl3B_M472.pdb     -169.170783 kBT
1zl3B_M94.pdb     -192.788374 kBT
1zl3B_M457.pdb     -118.067344 kBT
1zl3B_M335.pdb     -137.257501 kBT
1zl3B_M19.pdb     -251.484267 kBT
1zl3B_M227.pdb     -163.639024 kBT
1zl3B_M365.pdb     -131.286900 kBT
1zl3B_M6.pdb     -258.864648 kBT
1zl3B_M103.pdb     -183.647688 kBT
1zl3B_M62.pdb     -197.513963 kBT
1zl3B_M415.pdb     -177.723624 kBT
1zl3B_M37.pdb     -245.129386 kBT
1zl3B_M182.pdb     -193.878173 kBT
1zl3B_M360.pdb     -169.187389 kBT
1zl3B_M100.pdb     -222.676144 kBT
1zl3B_M176.pdb     -183.477170 kBT
1zl3B_M56.pdb     -215.179905 kBT
1zl3B_M2.pdb     -267.647609 kBT
1zl3B_M329.pdb     -183.778325 kBT
1zl3B_M484.pdb     -162.725126 kBT
1zl3B_M93.pdb     -187.572738 kBT
1zl3B_M337.pdb     -171.174960 kBT
1zl3B_M393.pdb     -151.296632 kBT
1zl3B_M250.pdb     -128.485416 kBT
1zl3B_M306.pdb     -197.291095 kBT
1zl3B_M171.pdb     -187.276791 kBT
1zl3B_M405.pdb     -188.847974 kBT
1zl3B_M76.pdb     -220.513818 kBT
1zl3B_M369.pdb     -180.283896 kBT
1zl3B_M294.pdb     -188.417680 kBT
1zl3B_M377.pdb     -145.497386 kBT
1zl3B_M237.pdb     -169.336117 kBT
1zl3B_M410.pdb     -169.303786 kBT
1zl3B_M71.pdb     -187.416860 kBT
1zl3B_M102.pdb     -195.968888 kBT
1zl3B_M249.pdb     -178.050511 kBT
1zl3B_M223.pdb     -191.993937 kBT
1zl3B_M309.pdb     -163.635802 kBT
1zl3B_M152.pdb     -199.912133 kBT
1zl3B_M437.pdb     -157.679986 kBT
1zl3B_M222.pdb     -180.018169 kBT
1zl3B_M147.pdb     -181.756053 kBT
1zl3B_M230.pdb     -189.098374 kBT
1zl3B_M191.pdb     -193.858231 kBT
1zl3B_M79.pdb     -204.324937 kBT
1zl3B_M479.pdb     -155.512483 kBT
1zl3B_M445.pdb     -159.829578 kBT
1zl3B_M497.pdb     -162.420689 kBT
1zl3B_M168.pdb     -170.063173 kBT
1zl3B_M418.pdb     -181.841790 kBT
1zl3B_M52.pdb     -232.876960 kBT
1zl3B_M348.pdb     -176.619943 kBT
1zl3B_M496.pdb     -169.297091 kBT
1zl3B_M161.pdb     -193.021254 kBT
1zl3B_M278.pdb     -158.086872 kBT
1zl3B_M308.pdb     -150.850264 kBT
1zl3B_M407.pdb     -159.564962 kBT
1zl3B_M149.pdb     -184.961851 kBT
1zl3B_M347.pdb     -119.175969 kBT
1zl3B_M125.pdb     -205.579180 kBT
1zl3B_M104.pdb     -191.355330 kBT
1zl3B_M285.pdb     -183.054860 kBT
1zl3B_M379.pdb     -108.314189 kBT
1zl3B_M266.pdb     -154.757580 kBT
1zl3B_M482.pdb     -154.127470 kBT
1zl3B_M261.pdb     -195.755042 kBT
1zl3B_M444.pdb     -158.196695 kBT
1zl3B_M443.pdb     -141.817346 kBT
1zl3B_M112.pdb     -176.453569 kBT
1zl3B_M241.pdb     -166.760605 kBT
1zl3B_M138.pdb     -192.291319 kBT
1zl3B_M89.pdb     -210.635256 kBT
1zl3B_M200.pdb     -158.475686 kBT
1zl3B_M435.pdb     -162.568624 kBT
1zl3B_M466.pdb     -159.021652 kBT
1zl3B_M189.pdb     -207.005134 kBT
1zl3B_M253.pdb     -179.022701 kBT
1zl3B_M271.pdb     -170.855836 kBT
1zl3B_M246.pdb     -149.380725 kBT
1zl3B_M455.pdb     -177.342636 kBT
1zl3B_M476.pdb     -144.292047 kBT
1zl3B_M320.pdb     -141.232787 kBT
1zl3B_M327.pdb     -147.142733 kBT
1zl3B_M83.pdb     -210.644603 kBT
1zl3B_M11.pdb     -251.351491 kBT
1zl3B_M240.pdb     -192.686763 kBT
1zl3B_M279.pdb     -154.139353 kBT
1zl3B_M336.pdb     -175.026095 kBT
1zl3B_M55.pdb     -222.995367 kBT
1zl3B_M29.pdb     -245.930418 kBT
1zl3B_M236.pdb     -179.330385 kBT
1zl3B_M155.pdb     -208.584920 kBT
1zl3B_M262.pdb     -182.125486 kBT
1zl3B_M468.pdb     -161.070472 kBT
1zl3B_M143.pdb     -202.997376 kBT
1zl3B_M345.pdb     -151.661871 kBT
1zl3B_M135.pdb     -179.161112 kBT
1zl3B_M429.pdb     -180.466018 kBT
1zl3B_M173.pdb     -195.695721 kBT
1zl3B_M423.pdb     -186.238991 kBT
1zl3B_M157.pdb     -198.653521 kBT
1zl3B_M67.pdb     -223.635215 kBT
1zl3B_M242.pdb     -182.650297 kBT
1zl3B_M39.pdb     -217.664331 kBT
1zl3B_M116.pdb     -217.229577 kBT
1zl3B_M420.pdb     -121.642854 kBT
1zl3B_M174.pdb     -177.491690 kBT
1zl3B_M298.pdb     -157.929387 kBT
1zl3B_M73.pdb     -229.997842 kBT
1zl3B_M343.pdb     -152.957608 kBT
1zl3B_M409.pdb     -121.098101 kBT
1zl3B_M427.pdb     -136.624381 kBT
1zl3B_M231.pdb     -181.620443 kBT
1zl3B_M267.pdb     -201.385057 kBT
1zl3B_M462.pdb     -171.685534 kBT
1zl3B_M84.pdb     -207.437284 kBT
1zl3B_M260.pdb     -152.015168 kBT
1zl3B_M486.pdb     -144.168537 kBT
1zl3B_M313.pdb     -169.534019 kBT
1zl3B_M370.pdb     -169.408615 kBT
1zl3B_M124.pdb     -213.471233 kBT
1zl3B_M425.pdb     -147.522892 kBT
1zl3B_M481.pdb     -159.370757 kBT
1zl3B_M499.pdb     -197.340433 kBT
1zl3B_M440.pdb     -148.242282 kBT
1zl3B_M449.pdb     -174.268344 kBT
1zl3B_M394.pdb     -151.344950 kBT
1zl3B_M178.pdb     -180.508403 kBT
1zl3B_M324.pdb     -194.363128 kBT
1zl3B_M211.pdb     -196.535739 kBT
1zl3B_M483.pdb     -135.091304 kBT
1zl3B_M164.pdb     -191.895578 kBT
1zl3B_M209.pdb     -175.834358 kBT
1zl3B_M25.pdb     -226.811474 kBT
1zl3B_M258.pdb     -185.431071 kBT
1zl3B_M34.pdb     -235.686461 kBT
1zl3B_M471.pdb     -169.963916 kBT
1zl3B_M274.pdb     -148.192856 kBT
1zl3B_M110.pdb     -202.748194 kBT
1zl3B_M295.pdb     -164.953062 kBT
1zl3B_M275.pdb     -168.445059 kBT
1zl3B_M255.pdb     -181.269910 kBT
1zl3B_M90.pdb     -199.137435 kBT
1zl3B_M23.pdb     -256.173661 kBT
1zl3B_M390.pdb     -156.962672 kBT
1zl3B_M386.pdb     -135.474721 kBT
1zl3B_M172.pdb     -175.760133 kBT
1zl3B_M22.pdb     -245.982988 kBT
1zl3B_M58.pdb     -218.315100 kBT
1zl3B_M4.pdb     -258.179919 kBT
1zl3B_M160.pdb     -176.795076 kBT
1zl3B_M49.pdb     -215.469945 kBT
1zl3B_M356.pdb     -192.134605 kBT
1zl3B_M448.pdb     -168.280291 kBT
1zl3B_M378.pdb     -152.921391 kBT
1zl3B_M20.pdb     -238.415186 kBT
1zl3B_M139.pdb     -199.834194 kBT
1zl3B_M430.pdb     -141.025667 kBT
1zl3B_M165.pdb     -189.465717 kBT
1zl3B_M289.pdb     -173.736374 kBT
1zl3B_M3.pdb     -261.971206 kBT
1zl3B_M183.pdb     -204.213726 kBT
1zl3B_M170.pdb     -155.445097 kBT
1zl3B_M353.pdb     -159.233624 kBT
1zl3B_M7.pdb     -257.727504 kBT
1zl3B_M446.pdb     -161.514192 kBT
1zl3B_M214.pdb     -173.553609 kBT
1zl3B_M96.pdb     -200.740171 kBT
1zl3B_M54.pdb     -245.058452 kBT
1zl3B_M107.pdb     -205.179479 kBT
1zl3B_M245.pdb     -188.256624 kBT
1zl3B_M117.pdb     -213.355730 kBT
1zl3B_M81.pdb     -210.997985 kBT
1zl3B_M433.pdb     -160.803821 kBT
1zl3B_M233.pdb     -171.995956 kBT
1zl3B_M105.pdb     -206.377184 kBT
1zl3B_M64.pdb     -221.501495 kBT
1zl3B_M346.pdb     -179.075278 kBT
1zl3B_M113.pdb     -200.552742 kBT
1zl3B_M24.pdb     -263.123010 kBT
1zl3B_M85.pdb     -213.357827 kBT
1zl3B_M142.pdb     -195.103255 kBT
1zl3B_M355.pdb     -144.085411 kBT
1zl3B_M389.pdb     -160.660376 kBT
1zl3B_M17.pdb     -252.930977 kBT
1zl3B_M344.pdb     -157.651363 kBT
1zl3B_M376.pdb     -145.043324 kBT
1zl3B_M204.pdb     -168.321162 kBT
1zl3B_M148.pdb     -202.135500 kBT
1zl3B_M69.pdb     -239.653810 kBT
1zl3B_M65.pdb     -228.879500 kBT
1zl3B_M158.pdb     -175.824351 kBT
1zl3B_M229.pdb     -161.434467 kBT
1zl3B_M339.pdb     -180.828489 kBT
1zl3B_M251.pdb     -181.937762 kBT
1zl3B_M326.pdb     -150.100302 kBT
1zl3B_M474.pdb     -125.573068 kBT
1zl3B_M144.pdb     -196.937395 kBT
1zl3B_M208.pdb     -195.950775 kBT
1zl3B_M118.pdb     -182.324018 kBT
1zl3B_M392.pdb     -151.563616 kBT
1zl3B_M398.pdb     -148.046318 kBT
1zl3B_M416.pdb     -172.211843 kBT
1zl3B_M412.pdb     -148.702909 kBT
1zl3B_M322.pdb     -146.258351 kBT
1zl3B_M199.pdb     -174.230420 kBT
1zl3B_M428.pdb     -133.786966 kBT
1zl3B_M68.pdb     -230.621354 kBT
1zl3B_M10.pdb     -261.141626 kBT
1zl3B_M47.pdb     -222.672087 kBT
1zl3B_M331.pdb     -169.876586 kBT
1zl3B_M350.pdb     -160.169669 kBT
1zl3B_M447.pdb     -192.567863 kBT
1zl3B_M137.pdb     -200.519006 kBT
1zl3B_M342.pdb     -175.048546 kBT
1zl3B_M402.pdb     -134.038500 kBT
1zl3B_M74.pdb     -221.350761 kBT
1zl3B_M60.pdb     -223.981667 kBT
1zl3B_M304.pdb     -161.438879 kBT
1zl3B_M312.pdb     -160.253493 kBT
1zl3B_M397.pdb     -165.143768 kBT
1zl3B_M480.pdb     -171.089152 kBT
1zl3B_M80.pdb     -236.976213 kBT
1zl3B_M286.pdb     -175.986130 kBT
1zl3B_M302.pdb     -184.605903 kBT
1zl3B_M330.pdb     -174.338900 kBT
1zl3B_M145.pdb     -206.274138 kBT
1zl3B_M179.pdb     -219.978916 kBT
1zl3B_M16.pdb     -241.411233 kBT
1zl3B_M5.pdb     -259.627229 kBT
1zl3B_M99.pdb     -198.730548 kBT
1zl3B_M273.pdb     -171.739237 kBT
1zl3B_M438.pdb     -156.589826 kBT
1zl3B_M315.pdb     -190.404051 kBT
1zl3B_M128.pdb     -194.749329 kBT
1zl3B_M361.pdb     -151.102041 kBT
1zl3B_M411.pdb     -160.598532 kBT
1zl3B_M141.pdb     -204.785073 kBT
