2qwyC_M466.pdb     -303.153552 kBT
2qwyC_M237.pdb     -338.995356 kBT
2qwyC_M14.pdb     -405.393576 kBT
2qwyC_M456.pdb     -329.605240 kBT
2qwyC_M79.pdb     -341.294801 kBT
2qwyC_M312.pdb     -324.932051 kBT
2qwyC_M416.pdb     -325.109672 kBT
2qwyC_M207.pdb     -369.987621 kBT
2qwyC_M124.pdb     -318.112281 kBT
2qwyC_M183.pdb     -332.649117 kBT
2qwyC_M430.pdb     -316.648680 kBT
2qwyC_M315.pdb     -311.586701 kBT
2qwyC_M403.pdb     -322.658479 kBT
2qwyC_M226.pdb     -335.629214 kBT
2qwyC_M219.pdb     -325.478498 kBT
2qwyC_M19.pdb     -400.379695 kBT
2qwyC_M75.pdb     -345.436464 kBT
2qwyC_M77.pdb     -387.824530 kBT
2qwyC_M241.pdb     -329.188286 kBT
2qwyC_M391.pdb     -326.583794 kBT
2qwyC_M409.pdb     -322.499810 kBT
2qwyC_M417.pdb     -316.513137 kBT
2qwyC_M170.pdb     -380.487946 kBT
2qwyC_M238.pdb     -352.623884 kBT
2qwyC_M198.pdb     -338.460167 kBT
2qwyC_M45.pdb     -359.385606 kBT
2qwyC_M425.pdb     -335.589607 kBT
2qwyC_M369.pdb     -354.153150 kBT
2qwyC_M39.pdb     -394.726551 kBT
2qwyC_M85.pdb     -350.891250 kBT
2qwyC_M379.pdb     -326.571356 kBT
2qwyC_M437.pdb     -323.094308 kBT
2qwyC_M90.pdb     -369.865010 kBT
2qwyC_M443.pdb     -316.785926 kBT
2qwyC_M76.pdb     -371.239672 kBT
2qwyC_M377.pdb     -337.150807 kBT
2qwyC_M426.pdb     -310.203031 kBT
2qwyC_M178.pdb     -352.990374 kBT
2qwyC_M273.pdb     -308.687108 kBT
2qwyC_M5.pdb     -422.177775 kBT
2qwyC_M493.pdb     -293.665553 kBT
2qwyC_M141.pdb     -348.846955 kBT
2qwyC_M494.pdb     -348.591886 kBT
2qwyC_M146.pdb     -336.024643 kBT
2qwyC_M264.pdb     -323.195155 kBT
2qwyC_M422.pdb     -371.440127 kBT
2qwyC_M302.pdb     -359.293880 kBT
2qwyC_M22.pdb     -416.720024 kBT
2qwyC_M404.pdb     -333.606223 kBT
2qwyC_M445.pdb     -363.734793 kBT
2qwyC_M446.pdb     -301.517583 kBT
2qwyC_M134.pdb     -365.481112 kBT
2qwyC_M295.pdb     -318.082934 kBT
2qwyC_M500.pdb     -314.264704 kBT
2qwyC_M458.pdb     -329.447212 kBT
2qwyC_M133.pdb     -355.770731 kBT
2qwyC_M140.pdb     -363.449722 kBT
2qwyC_M414.pdb     -331.972723 kBT
2qwyC_M349.pdb     -335.144353 kBT
2qwyC_M174.pdb     -324.099108 kBT
2qwyC_M442.pdb     -319.531592 kBT
2qwyC_M288.pdb     -344.866702 kBT
2qwyC_M86.pdb     -348.631375 kBT
2qwyC_M73.pdb     -360.767647 kBT
2qwyC_M57.pdb     -365.743554 kBT
2qwyC_M93.pdb     -353.213967 kBT
2qwyC_M121.pdb     -385.256672 kBT
2qwyC_M70.pdb     -365.296781 kBT
2qwyC_M453.pdb     -295.421874 kBT
2qwyC_M41.pdb     -407.251721 kBT
2qwyC_M325.pdb     -314.748575 kBT
2qwyC_M372.pdb     -313.165238 kBT
2qwyC_M163.pdb     -388.190421 kBT
