2il9M_M389.pdb     -440.879182 kBT
2il9M_M486.pdb     -436.550972 kBT
2il9M_M2.pdb     -705.004273 kBT
2il9M_M437.pdb     -459.122573 kBT
2il9M_M414.pdb     -471.360378 kBT
2il9M_M267.pdb     -470.229372 kBT
2il9M_M40.pdb     -582.619705 kBT
2il9M_M426.pdb     -460.423668 kBT
2il9M_M202.pdb     -542.950319 kBT
2il9M_M407.pdb     -471.434734 kBT
2il9M_M383.pdb     -447.554193 kBT
2il9M_M461.pdb     -432.144849 kBT
2il9M_M399.pdb     -440.582250 kBT
2il9M_M500.pdb     -423.377136 kBT
2il9M_M296.pdb     -475.023598 kBT
2il9M_M248.pdb     -478.004689 kBT
2il9M_M435.pdb     -498.923121 kBT
2il9M_M84.pdb     -538.867129 kBT
2il9M_M480.pdb     -463.959919 kBT
2il9M_M249.pdb     -455.009116 kBT
2il9M_M237.pdb     -486.322591 kBT
2il9M_M310.pdb     -490.988516 kBT
2il9M_M4.pdb     -725.923281 kBT
2il9M_M360.pdb     -491.927641 kBT
2il9M_M482.pdb     -429.718719 kBT
2il9M_M222.pdb     -491.365875 kBT
2il9M_M191.pdb     -469.884086 kBT
2il9M_M56.pdb     -589.554165 kBT
2il9M_M145.pdb     -498.686478 kBT
2il9M_M492.pdb     -431.383419 kBT
2il9M_M351.pdb     -466.917953 kBT
2il9M_M392.pdb     -492.869622 kBT
2il9M_M283.pdb     -535.778680 kBT
2il9M_M497.pdb     -470.142885 kBT
2il9M_M337.pdb     -464.333202 kBT
2il9M_M264.pdb     -506.241760 kBT
2il9M_M379.pdb     -465.790515 kBT
2il9M_M355.pdb     -451.761451 kBT
2il9M_M408.pdb     -425.305307 kBT
2il9M_M54.pdb     -565.406153 kBT
2il9M_M108.pdb     -518.652040 kBT
2il9M_M221.pdb     -540.344601 kBT
2il9M_M271.pdb     -427.741457 kBT
2il9M_M475.pdb     -440.601197 kBT
2il9M_M143.pdb     -490.346275 kBT
2il9M_M253.pdb     -465.903317 kBT
2il9M_M164.pdb     -449.404372 kBT
2il9M_M136.pdb     -501.348049 kBT
2il9M_M208.pdb     -475.303227 kBT
2il9M_M93.pdb     -556.762172 kBT
2il9M_M488.pdb     -469.116481 kBT
2il9M_M489.pdb     -490.519130 kBT
2il9M_M370.pdb     -470.469071 kBT
2il9M_M291.pdb     -484.173961 kBT
2il9M_M34.pdb     -663.722243 kBT
2il9M_M86.pdb     -501.151233 kBT
2il9M_M120.pdb     -540.927918 kBT
2il9M_M242.pdb     -487.958539 kBT
2il9M_M332.pdb     -430.929622 kBT
2il9M_M128.pdb     -511.419443 kBT
2il9M_M57.pdb     -563.606294 kBT
2il9M_M281.pdb     -479.321861 kBT
2il9M_M297.pdb     -481.333903 kBT
2il9M_M362.pdb     -473.931460 kBT
2il9M_M225.pdb     -443.097372 kBT
2il9M_M44.pdb     -601.836279 kBT
2il9M_M251.pdb     -495.040972 kBT
2il9M_M278.pdb     -485.997083 kBT
2il9M_M421.pdb     -481.888282 kBT
2il9M_M298.pdb     -482.966163 kBT
2il9M_M27.pdb     -611.184900 kBT
2il9M_M19.pdb     -661.931970 kBT
2il9M_M235.pdb     -514.409454 kBT
2il9M_M189.pdb     -441.602887 kBT
2il9M_M205.pdb     -466.570685 kBT
2il9M_M82.pdb     -536.894861 kBT
2il9M_M448.pdb     -419.177899 kBT
