387dA_M141.pdb     -85.399040 kBT
387dA_M305.pdb     -69.548430 kBT
387dA_M121.pdb     -108.681370 kBT
387dA_M194.pdb     -85.780857 kBT
387dA_M253.pdb     -89.567304 kBT
387dA_M56.pdb     -109.549698 kBT
387dA_M158.pdb     -102.116591 kBT
387dA_M93.pdb     -113.006631 kBT
387dA_M137.pdb     -108.366474 kBT
387dA_M310.pdb     -101.962410 kBT
387dA_M442.pdb     -93.507136 kBT
387dA_M159.pdb     -123.508381 kBT
387dA_M216.pdb     -94.090473 kBT
387dA_M390.pdb     -102.584689 kBT
387dA_M295.pdb     -106.526077 kBT
387dA_M308.pdb     -76.438477 kBT
387dA_M220.pdb     -107.150069 kBT
387dA_M85.pdb     -129.036941 kBT
387dA_M27.pdb     -117.778142 kBT
387dA_M28.pdb     -138.601544 kBT
387dA_M288.pdb     -112.151951 kBT
387dA_M467.pdb     -51.974178 kBT
387dA_M178.pdb     -92.729619 kBT
387dA_M109.pdb     -92.116488 kBT
387dA_M398.pdb     -86.426728 kBT
387dA_M272.pdb     -72.208231 kBT
387dA_M243.pdb     -101.277210 kBT
387dA_M168.pdb     -104.171677 kBT
387dA_M118.pdb     -108.673263 kBT
387dA_M104.pdb     -104.693299 kBT
387dA_M20.pdb     -152.221023 kBT
387dA.pdb     -176.632084 kBT
387dA_M46.pdb     -126.006776 kBT
387dA_M210.pdb     -116.838933 kBT
387dA_M44.pdb     -121.055284 kBT
387dA_M418.pdb     -103.015839 kBT
387dA_M160.pdb     -84.665234 kBT
387dA_M219.pdb     -116.763204 kBT
387dA_M468.pdb     -79.473493 kBT
387dA_M228.pdb     -78.531106 kBT
387dA_M348.pdb     -68.665212 kBT
387dA_M395.pdb     -90.243637 kBT
387dA_M453.pdb     -67.046670 kBT
387dA_M365.pdb     -91.872303 kBT
387dA_M95.pdb     -94.804218 kBT
387dA_M176.pdb     -120.742161 kBT
387dA_M78.pdb     -93.794421 kBT
387dA_M387.pdb     -102.712020 kBT
387dA_M309.pdb     -98.697537 kBT
387dA_M19.pdb     -158.198750 kBT
387dA_M265.pdb     -116.359814 kBT
387dA_M239.pdb     -116.711643 kBT
387dA_M258.pdb     -101.977430 kBT
387dA_M238.pdb     -81.759076 kBT
387dA_M299.pdb     -78.161872 kBT
387dA_M73.pdb     -87.966615 kBT
387dA_M11.pdb     -143.397699 kBT
387dA_M183.pdb     -99.669585 kBT
387dA_M420.pdb     -79.955022 kBT
387dA_M215.pdb     -91.640037 kBT
387dA_M79.pdb     -104.256179 kBT
387dA_M465.pdb     -85.343174 kBT
387dA_M226.pdb     -48.895520 kBT
387dA_M190.pdb     -87.891253 kBT
387dA_M84.pdb     -110.386289 kBT
387dA_M113.pdb     -93.336889 kBT
387dA_M369.pdb     -113.640293 kBT
387dA_M132.pdb     -91.478886 kBT
387dA_M7.pdb     -159.937701 kBT
387dA_M486.pdb     -99.562996 kBT
387dA_M371.pdb     -89.506258 kBT
387dA_M66.pdb     -115.139030 kBT
387dA_M378.pdb     -113.886415 kBT
387dA_M127.pdb     -81.854257 kBT
387dA_M10.pdb     -164.508771 kBT
387dA_M287.pdb     -99.837367 kBT
387dA_M34.pdb     -132.666539 kBT
387dA_M340.pdb     -98.278843 kBT
387dA_M115.pdb     -144.033623 kBT
387dA_M39.pdb     -110.502053 kBT
387dA_M30.pdb     -103.877696 kBT
387dA_M445.pdb     -82.048364 kBT
387dA_M72.pdb     -97.036564 kBT
387dA_M47.pdb     -105.323815 kBT
387dA_M454.pdb     -94.854878 kBT
387dA_M391.pdb     -133.793997 kBT
387dA_M463.pdb     -63.712048 kBT
387dA_M53.pdb     -117.554096 kBT
387dA_M285.pdb     -85.074966 kBT
387dA_M475.pdb     -83.082604 kBT
387dA_M76.pdb     -90.739133 kBT
387dA_M462.pdb     -85.941312 kBT
387dA_M342.pdb     -132.045407 kBT
387dA_M452.pdb     -85.315643 kBT
387dA_M197.pdb     -118.165226 kBT
387dA_M40.pdb     -122.245688 kBT
387dA_M323.pdb     -110.985891 kBT
387dA_M433.pdb     -90.718471 kBT
387dA_M492.pdb     -72.757448 kBT
387dA_M292.pdb     -78.070416 kBT
387dA_M494.pdb     -51.932599 kBT
387dA_M311.pdb     -79.912004 kBT
387dA_M341.pdb     -91.228187 kBT
387dA_M455.pdb     -109.144894 kBT
387dA_M477.pdb     -70.283064 kBT
387dA_M89.pdb     -107.744330 kBT
387dA_M449.pdb     -88.385346 kBT
387dA_M376.pdb     -109.868228 kBT
387dA_M196.pdb     -121.502566 kBT
387dA_M284.pdb     -111.713018 kBT
387dA_M381.pdb     -91.151641 kBT
387dA_M314.pdb     -84.116766 kBT
387dA_M87.pdb     -102.910705 kBT
387dA_M59.pdb     -136.873570 kBT
387dA_M319.pdb     -101.454715 kBT
387dA_M261.pdb     -84.506958 kBT
387dA_M88.pdb     -113.193204 kBT
387dA_M327.pdb     -106.334409 kBT
387dA_M469.pdb     -88.701390 kBT
387dA_M269.pdb     -96.954860 kBT
387dA_M345.pdb     -112.078052 kBT
387dA_M421.pdb     -85.277847 kBT
387dA_M331.pdb     -73.068600 kBT
387dA_M125.pdb     -100.212270 kBT
387dA_M100.pdb     -105.618081 kBT
387dA_M110.pdb     -110.331313 kBT
387dA_M358.pdb     -99.881014 kBT
387dA_M456.pdb     -73.937962 kBT
387dA_M400.pdb     -78.177324 kBT
387dA_M498.pdb     -132.471953 kBT
387dA_M298.pdb     -81.440982 kBT
387dA_M290.pdb     -86.908105 kBT
387dA_M138.pdb     -121.899296 kBT
387dA_M428.pdb     -88.299402 kBT
387dA_M414.pdb     -108.146889 kBT
387dA_M490.pdb     -88.406253 kBT
387dA_M405.pdb     -115.102084 kBT
387dA_M257.pdb     -136.233715 kBT
387dA_M328.pdb     -106.764031 kBT
387dA_M114.pdb     -98.651667 kBT
387dA_M386.pdb     -104.136209 kBT
387dA_M353.pdb     -90.738580 kBT
387dA_M64.pdb     -100.590157 kBT
387dA_M162.pdb     -88.295083 kBT
387dA_M385.pdb     -115.198722 kBT
387dA_M170.pdb     -111.014757 kBT
387dA_M389.pdb     -83.687326 kBT
387dA_M500.pdb     -76.743691 kBT
387dA_M255.pdb     -108.337979 kBT
387dA_M163.pdb     -102.358771 kBT
387dA_M367.pdb     -100.105796 kBT
387dA_M276.pdb     -87.764525 kBT
387dA_M191.pdb     -102.229355 kBT
387dA_M68.pdb     -106.698857 kBT
387dA_M63.pdb     -114.412510 kBT
387dA_M446.pdb     -57.244017 kBT
387dA_M406.pdb     -76.997918 kBT
387dA_M497.pdb     -67.365244 kBT
387dA_M69.pdb     -77.771383 kBT
387dA_M155.pdb     -119.003827 kBT
387dA_M3.pdb     -152.271430 kBT
387dA_M234.pdb     -98.379381 kBT
387dA_M346.pdb     -109.889782 kBT
387dA_M375.pdb     -109.594585 kBT
387dA_M116.pdb     -115.660972 kBT
387dA_M372.pdb     -94.005613 kBT
387dA_M379.pdb     -87.374653 kBT
387dA_M97.pdb     -94.207123 kBT
387dA_M303.pdb     -117.747419 kBT
387dA_M388.pdb     -86.390201 kBT
387dA_M444.pdb     -71.572279 kBT
387dA_M61.pdb     -91.316663 kBT
387dA_M222.pdb     -78.024193 kBT
387dA_M286.pdb     -120.825122 kBT
387dA_M315.pdb     -92.897681 kBT
387dA_M480.pdb     -77.284559 kBT
387dA_M135.pdb     -102.979822 kBT
387dA_M424.pdb     -115.208907 kBT
387dA_M473.pdb     -78.403423 kBT
387dA_M422.pdb     -61.726266 kBT
387dA_M51.pdb     -123.495865 kBT
387dA_M236.pdb     -121.591823 kBT
387dA_M244.pdb     -98.573486 kBT
387dA_M33.pdb     -130.033465 kBT
387dA_M297.pdb     -118.201372 kBT
387dA_M209.pdb     -121.703227 kBT
387dA_M334.pdb     -79.667469 kBT
387dA_M349.pdb     -79.590589 kBT
387dA_M320.pdb     -74.339730 kBT
387dA_M187.pdb     -118.505683 kBT
387dA_M411.pdb     -111.996127 kBT
387dA_M5.pdb     -151.978805 kBT
387dA_M289.pdb     -95.585486 kBT
387dA_M419.pdb     -97.690352 kBT
387dA_M283.pdb     -100.245316 kBT
387dA_M476.pdb     -79.289483 kBT
387dA_M74.pdb     -121.785046 kBT
387dA_M144.pdb     -106.974657 kBT
387dA_M459.pdb     -83.898474 kBT
387dA_M437.pdb     -50.990795 kBT
387dA_M184.pdb     -104.523730 kBT
387dA_M440.pdb     -91.131210 kBT
387dA_M307.pdb     -95.174440 kBT
387dA_M482.pdb     -83.115455 kBT
387dA_M156.pdb     -117.377860 kBT
387dA_M357.pdb     -88.836788 kBT
387dA_M48.pdb     -103.185747 kBT
387dA_M354.pdb     -133.734230 kBT
387dA_M296.pdb     -111.323099 kBT
387dA_M499.pdb     -83.956397 kBT
387dA_M23.pdb     -137.114857 kBT
387dA_M139.pdb     -140.814751 kBT
387dA_M426.pdb     -82.496013 kBT
387dA_M99.pdb     -113.804310 kBT
387dA_M250.pdb     -118.665189 kBT
387dA_M148.pdb     -104.429727 kBT
387dA_M431.pdb     -78.609752 kBT
387dA_M21.pdb     -130.006479 kBT
387dA_M316.pdb     -96.068053 kBT
387dA_M218.pdb     -92.850387 kBT
387dA_M119.pdb     -110.865965 kBT
387dA_M478.pdb     -105.312413 kBT
387dA_M280.pdb     -114.477409 kBT
387dA_M447.pdb     -78.809397 kBT
387dA_M152.pdb     -113.068935 kBT
387dA_M484.pdb     -95.200299 kBT
387dA_M171.pdb     -92.311008 kBT
387dA_M271.pdb     -99.957472 kBT
387dA_M140.pdb     -75.222877 kBT
387dA_M329.pdb     -111.579185 kBT
387dA_M86.pdb     -91.757891 kBT
387dA_M312.pdb     -112.524348 kBT
387dA_M249.pdb     -117.106765 kBT
387dA_M409.pdb     -92.518454 kBT
387dA_M145.pdb     -92.580839 kBT
387dA_M103.pdb     -96.954778 kBT
387dA_M128.pdb     -111.227766 kBT
387dA_M107.pdb     -118.411240 kBT
387dA_M120.pdb     -105.627662 kBT
387dA_M410.pdb     -110.636578 kBT
387dA_M67.pdb     -104.896313 kBT
387dA_M24.pdb     -137.808474 kBT
387dA_M229.pdb     -97.651372 kBT
387dA_M404.pdb     -116.652032 kBT
387dA_M277.pdb     -95.685342 kBT
387dA_M373.pdb     -115.673549 kBT
387dA_M205.pdb     -102.957931 kBT
387dA_M77.pdb     -119.073087 kBT
387dA_M306.pdb     -109.139747 kBT
387dA_M493.pdb     -70.932445 kBT
387dA_M273.pdb     -72.560511 kBT
387dA_M448.pdb     -89.188270 kBT
387dA_M36.pdb     -118.782865 kBT
