2quxR_M199.pdb     -135.966697 kBT
2quxR_M250.pdb     -133.364537 kBT
2quxR_M224.pdb     -159.789321 kBT
2quxR_M108.pdb     -147.013095 kBT
2quxR_M248.pdb     -161.757364 kBT
2quxR_M318.pdb     -157.367172 kBT
2quxR_M408.pdb     -111.798825 kBT
2quxR_M245.pdb     -144.359940 kBT
2quxR_M371.pdb     -130.217017 kBT
2quxR_M143.pdb     -153.658305 kBT
2quxR_M410.pdb     -115.194661 kBT
2quxR_M109.pdb     -167.736437 kBT
2quxR_M70.pdb     -188.272388 kBT
2quxR_M121.pdb     -170.467800 kBT
2quxR_M202.pdb     -150.748979 kBT
2quxR_M168.pdb     -152.782077 kBT
2quxR_M472.pdb     -108.019533 kBT
2quxR_M110.pdb     -180.788172 kBT
2quxR_M350.pdb     -157.546463 kBT
2quxR_M206.pdb     -155.462003 kBT
2quxR_M479.pdb     -143.817545 kBT
2quxR_M155.pdb     -144.588940 kBT
2quxR_M369.pdb     -138.573875 kBT
2quxR_M396.pdb     -161.836330 kBT
2quxR_M226.pdb     -135.223356 kBT
2quxR_M236.pdb     -73.253214 kBT
2quxR_M24.pdb     -201.797103 kBT
2quxR_M100.pdb     -179.360226 kBT
2quxR_M92.pdb     -155.241349 kBT
2quxR_M241.pdb     -139.395460 kBT
2quxR_M185.pdb     -116.609717 kBT
2quxR_M467.pdb     -127.707733 kBT
2quxR_M301.pdb     -124.215655 kBT
2quxR_M81.pdb     -174.893238 kBT
2quxR_M6.pdb     -220.565127 kBT
2quxR_M3.pdb     -219.786417 kBT
2quxR_M489.pdb     -141.198264 kBT
2quxR_M459.pdb     -120.871264 kBT
2quxR_M261.pdb     -120.887864 kBT
2quxR_M65.pdb     -188.808738 kBT
2quxR_M291.pdb     -102.129769 kBT
2quxR_M66.pdb     -194.780860 kBT
2quxR_M76.pdb     -205.782906 kBT
2quxR_M200.pdb     -157.901854 kBT
2quxR_M480.pdb     -153.707970 kBT
2quxR_M339.pdb     -161.901630 kBT
2quxR_M162.pdb     -131.273914 kBT
2quxR_M99.pdb     -174.768175 kBT
2quxR_M57.pdb     -209.640254 kBT
2quxR_M158.pdb     -188.294632 kBT
2quxR_M117.pdb     -165.620137 kBT
2quxR_M149.pdb     -146.568146 kBT
2quxR_M475.pdb     -98.858135 kBT
2quxR_M484.pdb     -109.752105 kBT
2quxR_M230.pdb     -130.254392 kBT
2quxR_M131.pdb     -165.527145 kBT
2quxR_M295.pdb     -131.022387 kBT
2quxR_M36.pdb     -211.822344 kBT
2quxR_M251.pdb     -162.796586 kBT
2quxR_M18.pdb     -202.368605 kBT
2quxR_M363.pdb     -86.407076 kBT
2quxR_M328.pdb     -100.205726 kBT
2quxR_M59.pdb     -189.537197 kBT
2quxR_M244.pdb     -130.436493 kBT
2quxR_M430.pdb     -92.089369 kBT
2quxR_M43.pdb     -192.796713 kBT
2quxR_M406.pdb     -90.048958 kBT
2quxR_M473.pdb     -107.580825 kBT
2quxR_M197.pdb     -182.514727 kBT
2quxR_M157.pdb     -162.276050 kBT
2quxR_M73.pdb     -187.459325 kBT
2quxR_M161.pdb     -123.053364 kBT
2quxR_M89.pdb     -191.769946 kBT
2quxR_M391.pdb     -142.984662 kBT
2quxR_M296.pdb     -119.688220 kBT
2quxR_M104.pdb     -187.690869 kBT
2quxR_M177.pdb     -153.077054 kBT
2quxR_M145.pdb     -166.168120 kBT
2quxR_M457.pdb     -130.656287 kBT
2quxR_M435.pdb     -128.878477 kBT
2quxR_M437.pdb     -116.447670 kBT
2quxR_M323.pdb     -104.026544 kBT
2quxR_M17.pdb     -221.732951 kBT
2quxR_M160.pdb     -160.688150 kBT
2quxR_M213.pdb     -156.336233 kBT
2quxR_M246.pdb     -156.584740 kBT
2quxR_M95.pdb     -185.074481 kBT
2quxR_M487.pdb     -70.945893 kBT
2quxR_M258.pdb     -158.004521 kBT
2quxR_M64.pdb     -216.159515 kBT
2quxR_M165.pdb     -182.418530 kBT
2quxR_M279.pdb     -140.007163 kBT
2quxR_M179.pdb     -146.017989 kBT
2quxR_M427.pdb     -140.879890 kBT
2quxR_M460.pdb     -161.325035 kBT
2quxR_M87.pdb     -144.588486 kBT
2quxR_M486.pdb     -96.889830 kBT
2quxR_M278.pdb     -138.139809 kBT
2quxR_M498.pdb     -84.468581 kBT
2quxR_M355.pdb     -148.745675 kBT
2quxR_M343.pdb     -141.186410 kBT
2quxR_M407.pdb     -165.529956 kBT
2quxR_M169.pdb     -146.652242 kBT
2quxR_M378.pdb     -110.607222 kBT
2quxR_M215.pdb     -149.187837 kBT
2quxR_M285.pdb     -108.460151 kBT
2quxR_M68.pdb     -208.486505 kBT
2quxR_M314.pdb     -133.143889 kBT
2quxR_M416.pdb     -105.788937 kBT
2quxR_M44.pdb     -213.806801 kBT
2quxR_M119.pdb     -178.296764 kBT
2quxR_M225.pdb     -157.533279 kBT
2quxR_M50.pdb     -215.047214 kBT
2quxR_M404.pdb     -127.822613 kBT
