2nufD_M209.pdb     -218.690699 kBT
2nufD_M302.pdb     -182.465874 kBT
2nufD_M365.pdb     -211.181639 kBT
2nufD_M426.pdb     -181.125041 kBT
2nufD_M234.pdb     -187.269281 kBT
2nufD_M455.pdb     -198.813683 kBT
2nufD_M298.pdb     -193.230962 kBT
2nufD_M496.pdb     -173.356386 kBT
2nufD_M263.pdb     -220.388637 kBT
2nufD_M118.pdb     -211.384538 kBT
2nufD_M243.pdb     -222.532054 kBT
2nufD_M87.pdb     -244.358286 kBT
2nufD_M94.pdb     -244.332981 kBT
2nufD_M370.pdb     -213.570095 kBT
2nufD_M52.pdb     -273.137018 kBT
2nufD_M378.pdb     -160.080520 kBT
2nufD_M170.pdb     -226.767879 kBT
2nufD_M99.pdb     -237.488345 kBT
2nufD_M294.pdb     -175.054610 kBT
2nufD_M411.pdb     -166.290466 kBT
2nufD_M253.pdb     -212.138194 kBT
2nufD_M173.pdb     -240.136596 kBT
2nufD_M167.pdb     -225.206851 kBT
2nufD_M336.pdb     -182.864954 kBT
2nufD_M127.pdb     -240.356804 kBT
2nufD_M450.pdb     -223.240382 kBT
2nufD_M236.pdb     -202.817742 kBT
2nufD_M359.pdb     -187.741967 kBT
2nufD_M125.pdb     -209.177056 kBT
2nufD_M204.pdb     -215.233976 kBT
2nufD_M412.pdb     -186.589200 kBT
2nufD_M372.pdb     -208.377173 kBT
2nufD_M17.pdb     -314.963239 kBT
2nufD_M291.pdb     -219.577120 kBT
2nufD_M214.pdb     -202.139974 kBT
2nufD_M8.pdb     -326.330176 kBT
2nufD_M245.pdb     -190.921055 kBT
2nufD_M40.pdb     -301.140165 kBT
2nufD_M24.pdb     -285.221235 kBT
2nufD_M478.pdb     -145.467714 kBT
2nufD_M108.pdb     -240.895695 kBT
2nufD_M425.pdb     -166.568229 kBT
2nufD_M190.pdb     -197.358906 kBT
2nufD_M414.pdb     -204.789234 kBT
2nufD_M282.pdb     -198.830185 kBT
2nufD_M395.pdb     -171.932466 kBT
2nufD_M150.pdb     -245.234731 kBT
2nufD_M264.pdb     -188.061605 kBT
2nufD_M295.pdb     -198.814145 kBT
2nufD_M262.pdb     -207.284779 kBT
2nufD_M373.pdb     -188.103055 kBT
2nufD_M43.pdb     -276.817469 kBT
2nufD_M421.pdb     -192.231742 kBT
2nufD_M230.pdb     -215.665117 kBT
2nufD_M223.pdb     -206.904567 kBT
2nufD_M448.pdb     -212.679852 kBT
2nufD_M357.pdb     -205.172075 kBT
2nufD_M86.pdb     -238.011761 kBT
2nufD_M301.pdb     -171.869684 kBT
2nufD_M115.pdb     -251.721120 kBT
2nufD_M165.pdb     -246.363764 kBT
2nufD_M141.pdb     -193.736657 kBT
2nufD_M157.pdb     -216.525545 kBT
2nufD_M493.pdb     -216.611526 kBT
2nufD_M159.pdb     -235.807809 kBT
2nufD_M259.pdb     -209.206433 kBT
2nufD_M198.pdb     -218.418911 kBT
2nufD_M152.pdb     -197.390461 kBT
2nufD_M489.pdb     -168.367407 kBT
2nufD_M417.pdb     -146.467951 kBT
2nufD_M79.pdb     -242.623066 kBT
2nufD_M51.pdb     -292.392614 kBT
2nufD_M20.pdb     -328.630184 kBT
2nufD_M239.pdb     -164.099983 kBT
2nufD_M110.pdb     -242.424095 kBT
2nufD_M106.pdb     -244.211978 kBT
2nufD_M54.pdb     -270.723939 kBT
2nufD_M289.pdb     -194.539649 kBT
2nufD_M461.pdb     -186.157077 kBT
2nufD_M367.pdb     -214.512688 kBT
2nufD_M311.pdb     -175.791828 kBT
2nufD_M479.pdb     -181.301559 kBT
2nufD_M325.pdb     -202.475225 kBT
2nufD_M174.pdb     -201.324723 kBT
2nufD_M464.pdb     -185.730247 kBT
2nufD_M407.pdb     -195.857985 kBT
2nufD_M233.pdb     -221.287276 kBT
2nufD_M476.pdb     -202.006749 kBT
2nufD_M67.pdb     -247.090959 kBT
2nufD_M82.pdb     -230.347762 kBT
2nufD_M387.pdb     -179.721165 kBT
2nufD_M469.pdb     -206.249847 kBT
2nufD_M306.pdb     -196.942783 kBT
2nufD_M4.pdb     -329.010614 kBT
2nufD_M59.pdb     -299.971971 kBT
2nufD_M333.pdb     -203.328472 kBT
2nufD_M380.pdb     -182.038184 kBT
2nufD_M428.pdb     -169.647694 kBT
2nufD_M112.pdb     -197.567553 kBT
2nufD_M103.pdb     -254.322579 kBT
2nufD_M341.pdb     -191.650896 kBT
2nufD_M211.pdb     -191.532814 kBT
2nufD_M257.pdb     -195.058048 kBT
2nufD_M200.pdb     -205.049323 kBT
2nufD_M194.pdb     -238.884054 kBT
2nufD_M11.pdb     -331.927607 kBT
2nufD_M261.pdb     -173.644621 kBT
2nufD_M401.pdb     -190.448206 kBT
2nufD_M98.pdb     -227.891523 kBT
2nufD_M180.pdb     -206.581046 kBT
2nufD_M366.pdb     -187.435176 kBT
