3fu4A_M69.pdb     -140.704710 kBT
3fu4A_M187.pdb     -110.535093 kBT
3fu4A_M129.pdb     -139.556691 kBT
3fu4A_M258.pdb     -135.266237 kBT
3fu4A_M154.pdb     -129.011147 kBT
3fu4A_M49.pdb     -127.294526 kBT
3fu4A_M224.pdb     -131.683507 kBT
3fu4A_M135.pdb     -127.389687 kBT
3fu4A_M115.pdb     -143.751640 kBT
3fu4A_M434.pdb     -111.316765 kBT
3fu4A_M407.pdb     -107.684187 kBT
3fu4A_M438.pdb     -116.432163 kBT
3fu4A_M287.pdb     -129.126732 kBT
3fu4A_M232.pdb     -122.587605 kBT
3fu4A_M221.pdb     -133.979087 kBT
3fu4A_M124.pdb     -126.902275 kBT
3fu4A_M203.pdb     -136.135713 kBT
3fu4A_M12.pdb     -147.720132 kBT
3fu4A_M126.pdb     -145.665379 kBT
3fu4A_M247.pdb     -127.768038 kBT
3fu4A_M459.pdb     -131.633906 kBT
3fu4A_M373.pdb     -114.773391 kBT
3fu4A_M488.pdb     -122.803759 kBT
3fu4A_M255.pdb     -115.032511 kBT
3fu4A_M363.pdb     -134.008515 kBT
3fu4A_M106.pdb     -132.479106 kBT
3fu4A_M390.pdb     -129.947102 kBT
3fu4A_M63.pdb     -136.491491 kBT
3fu4A_M432.pdb     -123.557442 kBT
3fu4A_M462.pdb     -112.511320 kBT
3fu4A_M323.pdb     -132.230992 kBT
3fu4A_M365.pdb     -122.196430 kBT
3fu4A_M87.pdb     -142.694590 kBT
3fu4A_M401.pdb     -123.787650 kBT
3fu4A_M20.pdb     -134.791914 kBT
3fu4A_M155.pdb     -112.565203 kBT
3fu4A_M375.pdb     -105.332670 kBT
3fu4A_M351.pdb     -123.302071 kBT
3fu4A_M245.pdb     -117.885557 kBT
3fu4A_M68.pdb     -132.265624 kBT
3fu4A_M491.pdb     -123.592202 kBT
3fu4A_M4.pdb     -154.052487 kBT
3fu4A_M84.pdb     -134.799894 kBT
3fu4A_M446.pdb     -119.406836 kBT
3fu4A_M451.pdb     -117.719444 kBT
3fu4A_M333.pdb     -125.299405 kBT
3fu4A_M214.pdb     -132.300459 kBT
3fu4A_M346.pdb     -127.977478 kBT
3fu4A_M249.pdb     -133.668994 kBT
3fu4A_M436.pdb     -117.030166 kBT
3fu4A_M460.pdb     -121.888203 kBT
3fu4A_M246.pdb     -121.332577 kBT
3fu4A_M220.pdb     -122.340683 kBT
