1mjiD_M86.pdb     -111.002800 kBT
1mjiD_M239.pdb     -108.561266 kBT
1mjiD_M285.pdb     -108.598276 kBT
1mjiD_M85.pdb     -113.384683 kBT
1mjiD_M28.pdb     -124.177882 kBT
1mjiD_M300.pdb     -82.543267 kBT
1mjiD_M349.pdb     -97.524308 kBT
1mjiD_M212.pdb     -106.529551 kBT
1mjiD_M390.pdb     -84.590618 kBT
1mjiD_M335.pdb     -122.020537 kBT
1mjiD_M127.pdb     -107.358256 kBT
1mjiD_M486.pdb     -101.431555 kBT
1mjiD_M474.pdb     -94.729538 kBT
1mjiD_M16.pdb     -116.137948 kBT
1mjiD_M468.pdb     -77.695983 kBT
1mjiD_M355.pdb     -79.994400 kBT
1mjiD_M25.pdb     -118.790255 kBT
1mjiD_M284.pdb     -119.982432 kBT
1mjiD_M481.pdb     -79.617584 kBT
1mjiD_M176.pdb     -97.558475 kBT
1mjiD_M393.pdb     -90.046838 kBT
1mjiD_M361.pdb     -93.872114 kBT
1mjiD_M242.pdb     -117.422873 kBT
1mjiD_M122.pdb     -114.269257 kBT
1mjiD_M331.pdb     -127.270913 kBT
1mjiD_M416.pdb     -103.694357 kBT
1mjiD_M135.pdb     -80.877260 kBT
1mjiD_M171.pdb     -115.142081 kBT
1mjiD_M164.pdb     -104.083289 kBT
1mjiD_M309.pdb     -88.013393 kBT
1mjiD_M283.pdb     -98.436744 kBT
1mjiD_M121.pdb     -115.304034 kBT
1mjiD_M356.pdb     -94.310854 kBT
1mjiD_M286.pdb     -78.085106 kBT
1mjiD_M245.pdb     -96.459839 kBT
1mjiD_M179.pdb     -108.801153 kBT
1mjiD_M412.pdb     -114.250833 kBT
1mjiD_M74.pdb     -120.224718 kBT
1mjiD_M396.pdb     -82.653991 kBT
1mjiD_M364.pdb     -99.749386 kBT
1mjiD_M441.pdb     -99.252420 kBT
1mjiD_M376.pdb     -92.465655 kBT
1mjiD_M153.pdb     -100.926852 kBT
1mjiD_M229.pdb     -86.484583 kBT
1mjiD_M58.pdb     -118.071523 kBT
1mjiD_M12.pdb     -125.609469 kBT
1mjiD_M453.pdb     -68.367175 kBT
1mjiD_M34.pdb     -127.668377 kBT
1mjiD_M208.pdb     -101.431627 kBT
1mjiD_M436.pdb     -106.392155 kBT
1mjiD_M155.pdb     -100.706532 kBT
1mjiD_M457.pdb     -97.618410 kBT
1mjiD_M24.pdb     -121.401187 kBT
1mjiD_M352.pdb     -102.038643 kBT
1mjiD_M13.pdb     -122.381664 kBT
1mjiD_M348.pdb     -102.820175 kBT
1mjiD_M163.pdb     -117.824952 kBT
1mjiD_M483.pdb     -53.693985 kBT
1mjiD_M29.pdb     -107.022929 kBT
1mjiD_M448.pdb     -101.437944 kBT
1mjiD_M23.pdb     -121.514894 kBT
1mjiD_M82.pdb     -100.890592 kBT
1mjiD_M398.pdb     -101.418239 kBT
1mjiD_M458.pdb     -87.092600 kBT
1mjiD_M109.pdb     -114.205452 kBT
1mjiD_M338.pdb     -75.775097 kBT
1mjiD_M9.pdb     -124.553510 kBT
1mjiD_M17.pdb     -117.418851 kBT
1mjiD_M189.pdb     -107.621031 kBT
1mjiD_M337.pdb     -104.524768 kBT
1mjiD_M297.pdb     -82.438875 kBT
1mjiD_M258.pdb     -112.976538 kBT
1mjiD_M214.pdb     -111.448355 kBT
1mjiD_M365.pdb     -89.985463 kBT
1mjiD_M52.pdb     -112.679258 kBT
1mjiD_M220.pdb     -110.143100 kBT
1mjiD_M419.pdb     -86.192605 kBT
1mjiD_M414.pdb     -104.973987 kBT
1mjiD_M138.pdb     -104.330918 kBT
1mjiD_M425.pdb     -88.321685 kBT
1mjiD_M473.pdb     -104.420868 kBT
1mjiD_M114.pdb     -114.460879 kBT
1mjiD_M172.pdb     -102.000398 kBT
1mjiD_M95.pdb     -99.602019 kBT
1mjiD_M144.pdb     -89.417463 kBT
1mjiD_M407.pdb     -92.184793 kBT
1mjiD_M75.pdb     -113.377796 kBT
1mjiD_M235.pdb     -102.281802 kBT
1mjiD_M273.pdb     -101.712533 kBT
1mjiD_M20.pdb     -120.135343 kBT
1mjiD_M472.pdb     -101.139744 kBT
1mjiD_M449.pdb     -82.568946 kBT
1mjiD_M218.pdb     -106.954360 kBT
1mjiD_M313.pdb     -103.453506 kBT
1mjiD_M63.pdb     -118.767193 kBT
1mjiD_M161.pdb     -95.502417 kBT
1mjiD_M131.pdb     -110.888578 kBT
1mjiD_M108.pdb     -120.500029 kBT
1mjiD_M8.pdb     -124.223308 kBT
1mjiD_M96.pdb     -92.455509 kBT
1mjiD_M311.pdb     -106.503118 kBT
1mjiD_M369.pdb     -87.623673 kBT
1mjiD_M496.pdb     -90.726270 kBT
1mjiD_M217.pdb     -84.472475 kBT
1mjiD_M232.pdb     -95.455284 kBT
1mjiD_M50.pdb     -125.057366 kBT
