1zbhF_M368.pdb     -57.384966 kBT
1zbhF_M61.pdb     -82.138414 kBT
1zbhF_M103.pdb     -65.002746 kBT
1zbhF_M63.pdb     -88.832535 kBT
1zbhF_M219.pdb     -77.807017 kBT
1zbhF_M393.pdb     -41.007702 kBT
1zbhF_M185.pdb     -70.633593 kBT
1zbhF_M33.pdb     -89.307812 kBT
1zbhF_M23.pdb     -88.612969 kBT
1zbhF_M248.pdb     -66.261359 kBT
1zbhF_M496.pdb     -53.466059 kBT
1zbhF_M446.pdb     -64.418451 kBT
1zbhF_M237.pdb     -78.543881 kBT
1zbhF_M412.pdb     -83.730638 kBT
1zbhF_M101.pdb     -85.500568 kBT
1zbhF_M222.pdb     -91.137872 kBT
1zbhF_M113.pdb     -97.418221 kBT
1zbhF_M260.pdb     -53.335624 kBT
1zbhF_M6.pdb     -105.396988 kBT
1zbhF_M85.pdb     -95.304088 kBT
1zbhF_M450.pdb     -66.684613 kBT
1zbhF_M343.pdb     -80.470893 kBT
1zbhF_M117.pdb     -75.909828 kBT
1zbhF_M348.pdb     -63.781169 kBT
1zbhF_M454.pdb     -70.106513 kBT
1zbhF_M228.pdb     -65.819004 kBT
1zbhF_M268.pdb     -87.295326 kBT
1zbhF_M59.pdb     -92.505230 kBT
1zbhF_M291.pdb     -86.304057 kBT
1zbhF_M229.pdb     -73.482361 kBT
1zbhF_M251.pdb     -73.655155 kBT
1zbhF_M224.pdb     -74.952526 kBT
1zbhF_M102.pdb     -70.935051 kBT
1zbhF_M288.pdb     -71.144686 kBT
1zbhF_M352.pdb     -55.037533 kBT
1zbhF_M230.pdb     -72.200187 kBT
1zbhF_M114.pdb     -80.315253 kBT
1zbhF_M186.pdb     -55.880290 kBT
1zbhF_M350.pdb     -77.604362 kBT
1zbhF_M84.pdb     -95.594037 kBT
1zbhF_M358.pdb     -66.966879 kBT
1zbhF_M436.pdb     -63.179914 kBT
1zbhF_M65.pdb     -90.023718 kBT
1zbhF_M210.pdb     -58.275288 kBT
1zbhF_M492.pdb     -63.885677 kBT
1zbhF_M177.pdb     -55.666911 kBT
1zbhF_M88.pdb     -102.908236 kBT
1zbhF_M306.pdb     -56.293357 kBT
1zbhF_M197.pdb     -98.269912 kBT
1zbhF_M153.pdb     -82.427401 kBT
1zbhF_M275.pdb     -71.057882 kBT
1zbhF_M5.pdb     -103.526691 kBT
