1h4sT_M51.pdb     -245.590034 kBT
1h4sT_M320.pdb     -204.680282 kBT
1h4sT_M179.pdb     -198.701743 kBT
1h4sT_M306.pdb     -202.682702 kBT
1h4sT_M188.pdb     -209.081386 kBT
1h4sT_M355.pdb     -208.708195 kBT
1h4sT_M143.pdb     -180.733231 kBT
1h4sT_M451.pdb     -193.250214 kBT
1h4sT_M192.pdb     -201.915683 kBT
1h4sT_M267.pdb     -183.322957 kBT
1h4sT_M167.pdb     -203.843783 kBT
1h4sT_M486.pdb     -164.023999 kBT
1h4sT_M214.pdb     -177.196577 kBT
1h4sT_M396.pdb     -193.379924 kBT
1h4sT_M473.pdb     -169.996758 kBT
1h4sT_M392.pdb     -227.132181 kBT
1h4sT_M87.pdb     -227.459897 kBT
1h4sT_M481.pdb     -214.140307 kBT
1h4sT_M393.pdb     -216.841104 kBT
1h4sT_M161.pdb     -181.900743 kBT
1h4sT_M414.pdb     -223.734514 kBT
1h4sT_M81.pdb     -226.404268 kBT
1h4sT_M6.pdb     -258.442141 kBT
1h4sT_M208.pdb     -209.089578 kBT
1h4sT_M277.pdb     -204.624129 kBT
1h4sT_M334.pdb     -182.863374 kBT
1h4sT_M431.pdb     -218.367463 kBT
1h4sT_M426.pdb     -169.207816 kBT
1h4sT_M53.pdb     -232.120824 kBT
1h4sT_M262.pdb     -208.670634 kBT
1h4sT_M164.pdb     -206.470696 kBT
1h4sT_M246.pdb     -193.016036 kBT
1h4sT_M495.pdb     -200.398637 kBT
1h4sT_M100.pdb     -227.063347 kBT
1h4sT_M429.pdb     -190.361506 kBT
1h4sT_M422.pdb     -187.514764 kBT
1h4sT_M229.pdb     -205.137543 kBT
1h4sT_M109.pdb     -216.797879 kBT
1h4sT_M472.pdb     -194.532366 kBT
1h4sT_M380.pdb     -203.649477 kBT
1h4sT_M470.pdb     -214.115323 kBT
1h4sT_M30.pdb     -234.154528 kBT
1h4sT_M333.pdb     -193.996600 kBT
1h4sT_M232.pdb     -220.048200 kBT
1h4sT_M234.pdb     -217.220326 kBT
1h4sT_M228.pdb     -215.748466 kBT
1h4sT_M121.pdb     -214.289603 kBT
1h4sT_M213.pdb     -223.231362 kBT
1h4sT_M110.pdb     -231.637965 kBT
1h4sT_M499.pdb     -183.798892 kBT
1h4sT_M327.pdb     -197.403705 kBT
1h4sT_M138.pdb     -180.980036 kBT
1h4sT_M289.pdb     -202.493215 kBT
1h4sT_M424.pdb     -186.662096 kBT
1h4sT_M74.pdb     -217.062898 kBT
1h4sT_M156.pdb     -200.238991 kBT
1h4sT_M187.pdb     -208.626162 kBT
1h4sT_M403.pdb     -193.144425 kBT
1h4sT_M14.pdb     -262.924518 kBT
1h4sT_M153.pdb     -185.022702 kBT
1h4sT_M421.pdb     -213.473282 kBT
1h4sT_M411.pdb     -214.777966 kBT
1h4sT_M405.pdb     -203.229635 kBT
1h4sT_M173.pdb     -201.858872 kBT
1h4sT_M285.pdb     -177.987993 kBT
1h4sT_M367.pdb     -203.988374 kBT
1h4sT_M245.pdb     -196.409579 kBT
1h4sT_M416.pdb     -197.398116 kBT
1h4sT_M439.pdb     -192.711165 kBT
1h4sT_M468.pdb     -176.604754 kBT
1h4sT_M278.pdb     -194.292414 kBT
1h4sT_M360.pdb     -173.513677 kBT
1h4sT_M63.pdb     -220.256364 kBT
1h4sT_M185.pdb     -207.459302 kBT
1h4sT_M387.pdb     -175.421652 kBT
1h4sT_M459.pdb     -184.603847 kBT
1h4sT_M151.pdb     -219.997883 kBT
1h4sT_M25.pdb     -249.723339 kBT
1h4sT_M10.pdb     -250.652656 kBT
1h4sT_M15.pdb     -245.421550 kBT
1h4sT_M224.pdb     -207.890200 kBT
1h4sT_M276.pdb     -203.776098 kBT
1h4sT_M183.pdb     -195.424730 kBT
1h4sT_M317.pdb     -187.261875 kBT
1h4sT_M194.pdb     -211.867517 kBT
1h4sT_M272.pdb     -201.266851 kBT
1h4sT_M189.pdb     -205.654179 kBT
1h4sT_M166.pdb     -210.810869 kBT
1h4sT_M236.pdb     -198.568784 kBT
1h4sT_M116.pdb     -216.772084 kBT
1h4sT_M485.pdb     -164.302314 kBT
1h4sT_M222.pdb     -200.579465 kBT
1h4sT_M198.pdb     -191.502585 kBT
1h4sT_M435.pdb     -185.221332 kBT
1h4sT_M4.pdb     -258.202058 kBT
1h4sT_M211.pdb     -220.729191 kBT
1h4sT_M353.pdb     -183.097708 kBT
