R1138TS076_3.pdb     -1937.793285 kBT
R1138TS119_2.pdb     -2320.310303 kBT
R1138TS097_4.pdb     -847.094788 kBT
R1138TS029_1.pdb     -2196.645477 kBT
R1138TS035_1.pdb     -1596.490609 kBT
R1138TS119_3.pdb     -2311.804702 kBT
R1138TS119_5.pdb     -2333.190883 kBT
R1138TS434_2.pdb     -1760.588855 kBT
R1138TS131_3.pdb     -736.827483 kBT
R1138TS081_3.pdb     -2362.374244 kBT
R1138TS392_3.pdb     -2118.827448 kBT
R1138TS076_1.pdb     -2392.857909 kBT
R1138TS239_4.pdb     -2518.817217 kBT
R1138TS081_1.pdb     -2350.398826 kBT
R1138TS416_3.pdb     -2468.852007 kBT
R1138TS119_4.pdb     -2292.276114 kBT
R1138TS245_3.pdb     -1914.521451 kBT
R1138TS416_5.pdb     -2392.857909 kBT
R1138TS287_4.pdb     -1832.644845 kBT
R1138TS131_2.pdb     -699.832883 kBT
R1138TS185_5.pdb     -1284.202328 kBT
R1138TS489_5.pdb     -3307.528768 kBT
R1138TS128_2.pdb     -2146.727232 kBT
R1138TS125_1.pdb     -2465.718212 kBT
R1138TS229_1.pdb     -6885.346609 kBT
R1138TS227_4.pdb     -1733.141909 kBT
R1138TS439_5.pdb     -2540.972573 kBT
R1138TS235_1.pdb     -1942.448966 kBT
R1138TS128_4.pdb     -2153.701990 kBT
R1138TS229_4.pdb     -2518.817217 kBT
R1138TS239_5.pdb     -2531.203459 kBT
R1138TS119_1.pdb     -2455.980970 kBT
R1138TS470_2.pdb     -3685.995630 kBT
R1138TS029_2.pdb     -2196.645477 kBT
R1138TS245_5.pdb     -1980.947542 kBT
R1138TS439_4.pdb     -2518.817217 kBT
R1138TS239_1.pdb     -6885.346609 kBT
R1138TS185_3.pdb     -1858.633518 kBT
R1138TS147_1.pdb     -1721.083682 kBT
R1138TS147_5.pdb     -1737.272023 kBT
R1138TS232_3.pdb     -2834.847201 kBT
R1138TS147_4.pdb     -1715.943111 kBT
R1138TS245_4.pdb     -2056.408948 kBT
